word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.03753367299266272	7	0.2168357114481933	0.1263368355105833	81/38	cosine	average
вид	0.05500486112035982	3	0.14077350308456826	0.07990120444550772	38/36/3	cosine	average
винт	0.11839773902205059	3	0.18633636398121223	0.1059774266263325	67/39/16/1	cosine	average
горн	0.11962302883269571	9	0.30877837151873655	0.18481053689629856	30/20/1	cosine	average
губа	0.47551865174764796	2	0.21490669127363662	0.12246519108721257	132/3/2	cosine	average
жаба	0.1554283827905252	2	0.20924094995518283	0.11817994819111377	79/27/9/6	cosine	average
клетка	0.13776290345475659	5	0.22090617981877472	0.12761355948581368	96/38/7/4/4/1	cosine	average
крыло	0.24178996233812394	6	0.2068371553219363	0.11887673148141867	51/19/7/5/4/3/1/1	cosine	average
купюра	0.02391795358304582	5	0.19845901766122298	0.1143851620430807	138/12	cosine	average
курица	0.09383053494728621	8	0.20720565983601064	0.1281586635421729	62/31	cosine	average
лавка	0.20664823000341126	3	0.2925119290119103	0.1696861362915441	82/67	cosine	average
лайка	0.16705971119908575	3	0.20334011891299414	0.11541229095094822	81/18	cosine	average
лев	0.13285388016910443	5	0.19621816634486874	0.11262702070559957	36/4/2/2	cosine	average
лира	0.5306704707560628	4	0.27136662004635526	0.15796559404774527	33/16	cosine	average
мина	0.310707050496461	2	0.17995644133791638	0.10449363407305788	51/12/2	cosine	average
мишень	0.10671889838556506	2	0.17198813383826875	0.09719553395403752	88/33	cosine	average
обед	0.09350549855363016	2	0.23625084874744842	0.13741323445282483	62/19/17/2	cosine	average
оклад	0.02465912061825374	4	0.15760457779267523	0.09023880170121112	137/5/4	cosine	average
опушка	0.12389720497764208	4	0.19993923704860697	0.11673913854926624	142/6	cosine	average
полис	0.011298080112410756	9	0.1883191527958361	0.10918814675719286	139/3	cosine	average
пост	0.030708364143733288	6	0.17733410707307928	0.10211642121758949	98/32/10/2/2	cosine	average
поток	0.010103434950407098	7	0.1803455063959841	0.10227398850805906	124/12	cosine	average
проказа	0.0378792961285338	2	0.20125505970137111	0.11408101798774375	95/51	cosine	average
пропасть	0.06744682984630394	2	0.17995285960167337	0.10253012195759183	92/25/7/3	cosine	average
проспект	0.08453823302029882	3	0.23448657741962062	0.13473148645340627	117/12/6/4	cosine	average
пытка	0.013363020416337862	2	0.1463552012321643	0.08259683068350704	116/27	cosine	average
рысь	0.01920497370494177	2	0.1436129027023116	0.0824874793742296	82/38	cosine	average
среда	0.34782608695652173	8	0.22134932615263414	0.13406635422325058	52/47/32/13	cosine	average
хвост	0.18822237303589653	9	0.2283661288274828	0.1317052880637735	100/12/8/1	cosine	average
штамп	0.025917310859128833	2	0.18800004041119067	0.10628492741133598	47/45/3/1	cosine	average
