word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.027913255586037175	3	0.799905935466405	0.6273676446075077	81/38	cosine	average
вид	0.016756095708962353	6	0.38015120872043934	0.23667258527096838	38/36/3	cosine	average
винт	-0.0061884015961189845	9	0.4913774132059474	0.3265460679750831	67/39/16/1	cosine	average
горн	0.030926891755878854	4	0.4183665383983532	0.3015443771181912	30/20/1	cosine	average
губа	0.02466203806754535	9	0.3885664723586581	0.2835790742151691	132/3/2	cosine	average
жаба	0.11660336319473386	6	0.5454762210256316	0.4073775837552262	79/27/9/6	cosine	average
клетка	0.14753527906212133	6	0.41097345043666	0.3445082304050021	96/38/7/4/4/1	cosine	average
крыло	-0.013419907897590285	2	0.8886232865661166	0.6393696663984563	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.021309783284872336	2	0.8928795592610822	0.6493701341360004	138/12	cosine	average
курица	0.04348446837585918	4	0.5985944126542428	0.4524135811727671	62/31	cosine	average
лавка	0.008042513746801018	5	0.48510701311816773	0.3500872097661861	82/67	cosine	average
лайка	-0.014536649418329281	5	0.6474255399968657	0.46584594505088567	81/18	cosine	average
лев	0.15432389197327562	6	0.5218826546958292	0.36107795286014527	36/4/2/2	cosine	average
лира	0.011490078251394987	8	0.49698628545134266	0.3530772864951675	33/16	cosine	average
мина	0.01512276296966689	3	0.6173928944071482	0.4306683267856706	51/12/2	cosine	average
мишень	0.005298410476856943	9	0.4997561616072051	0.33699779884520364	88/33	cosine	average
обед	0.05356656528572537	9	0.4453394022347659	0.34116229827009925	62/19/17/2	cosine	average
оклад	0.0423022321345355	7	0.4368915787261813	0.3028717516971813	137/5/4	cosine	average
опушка	0.08452769868624807	6	0.3307175365602501	0.27441944603829244	142/6	cosine	average
полис	0.38100593003088457	2	0.5068818685542185	0.3601029742933121	139/3	cosine	average
пост	0.07570531547767692	7	0.39728091207456556	0.2821687990770961	98/32/10/2/2	cosine	average
поток	0.010453341246159072	7	0.3308383054414303	0.2614249584366934	124/12	cosine	average
проказа	0.0539481205765539	3	0.46198825207761407	0.34225013066202004	95/51	cosine	average
пропасть	0.19639568872432303	3	0.6506898989976387	0.44080634873022545	92/25/7/3	cosine	average
проспект	0.29172195217013697	5	0.4668454621528467	0.314805670794146	117/12/6/4	cosine	average
пытка	0.017196107121981552	7	0.4435198814721597	0.35078098171881483	116/27	cosine	average
рысь	0.13432990155040028	4	0.5790451183518319	0.41619011916551163	82/38	cosine	average
среда	0.2707369914507673	7	0.6317494061792576	0.4836527328110024	52/47/32/13	cosine	average
хвост	0.05748172090534677	2	0.8474106811129668	0.5799861481142212	100/12/8/1	cosine	average
штамп	0.03215315410784955	9	0.4053607936873737	0.28672413753472425	47/45/3/1	cosine	average
