word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.026728054418512007	9	0.5118692672765778	0.3289606873951151	81/38	cosine	average
вид	0.07284429649419154	5	0.7033360512541678	0.48169442151600855	38/36/3	cosine	average
винт	0.01493683593064954	3	0.8203103827265958	0.6519403082462768	67/39/16/1	cosine	average
горн	0.00012102142079148009	2	0.901593329818831	0.7419834670631398	30/20/1	cosine	average
губа	-0.02073172015383482	2	0.8682519465630649	0.8116970969219548	132/3/2	cosine	average
жаба	0.08176771164446506	2	0.8299878277979283	0.7718099561691599	79/27/9/6	cosine	average
клетка	0.03717789809526723	9	0.5625820896936866	0.4000969904604827	96/38/7/4/4/1	cosine	average
крыло	-0.013419907897590285	2	0.9036557856395978	0.8492983657060016	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.021309783284872336	2	0.9510887529314357	0.8966420876529507	138/12	cosine	average
курица	0.03046658934784548	2	0.8113146393584868	0.7614170979779155	62/31	cosine	average
лавка	0.002305117644050813	8	0.5623707656350265	0.5027447820135318	82/67	cosine	average
лайка	-0.02905849883756338	2	0.8319809207740949	0.7922630918327368	81/18	cosine	average
лев	0.12130260334048708	5	0.6668430184500391	0.4307309959640897	36/4/2/2	cosine	average
лира	-0.020833333333333332	2	0.9070989643065144	0.8484596519882819	33/16	cosine	average
мина	0.013988605707489032	5	0.6136810266963412	0.5181092444005325	51/12/2	cosine	average
мишень	0.14280536426241391	4	0.7757333597594628	0.5739865830507871	88/33	cosine	average
обед	0.01775343289445835	4	0.85995218451085	0.6851830139980584	62/19/17/2	cosine	average
оклад	-0.04286924145641276	8	0.584202984942247	0.4385993855390947	137/5/4	cosine	average
опушка	0.12331458349844616	4	0.8953660831641915	0.7411333434384636	142/6	cosine	average
полис	0.14947859711845973	3	0.8642701208681736	0.7059727832191319	139/3	cosine	average
пост	0.031939314744353506	3	0.6776587780939429	0.630993396990443	98/32/10/2/2	cosine	average
поток	-0.02340384869823442	8	0.5643129787192588	0.3873733371662856	124/12	cosine	average
проказа	0.24330394468477395	9	0.7217012093351715	0.5426010530660634	95/51	cosine	average
пропасть	0.19051856676764478	7	0.7609019290276279	0.5654927612152373	92/25/7/3	cosine	average
проспект	0.17906430061138273	9	0.6666943547525092	0.4664187813386986	117/12/6/4	cosine	average
пытка	0.10859557577290013	9	0.6017649335324232	0.5352676869430738	116/27	cosine	average
рысь	0.10799920349144705	7	0.6914486190511725	0.5083215438084223	82/38	cosine	average
среда	0.1336974565441405	9	0.612441195078979	0.44953890004024494	52/47/32/13	cosine	average
хвост	0.05748172090534677	2	0.8908225006724297	0.8358666612504642	100/12/8/1	cosine	average
штамп	0.003788501983754862	3	0.8463556485673688	0.7124533084126968	47/45/3/1	cosine	average
