word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.040756518756831735	4	0.1593865114398973	0.090014882595605	81/38	cosine	average
вид	0.12348009741169372	3	0.20595482836118476	0.11588120457333895	38/36/3	cosine	average
винт	0.11441956436708688	3	0.18688399774930808	0.10707956213389476	67/39/16/1	cosine	average
горн	0.14267105018299112	8	0.20818574349705374	0.12122228498989769	30/20/1	cosine	average
губа	0.5542656243869717	2	0.2525448975731491	0.14688002769279926	132/3/2	cosine	average
жаба	0.06280330810910459	4	0.2150921406649229	0.1204719109110525	79/27/9/6	cosine	average
клетка	0.1366833315202225	4	0.24562116804523326	0.14103898697655665	96/38/7/4/4/1	cosine	average
крыло	0.2170422229164548	3	0.21084033527277835	0.11936992669455732	51/19/7/5/4/3/1/1	cosine	average
купюра	0.018567546395115722	9	0.2261115363300366	0.1277544802818799	138/12	cosine	average
курица	0.06651790174854288	5	0.24464428093360455	0.1434362034057071	62/31	cosine	average
лавка	0.1902995907595064	3	0.29139507508111934	0.16807501791065302	82/67	cosine	average
лайка	0.17193881342056166	8	0.15453474706277792	0.08710250648033739	81/18	cosine	average
лев	0.036616660086853534	3	0.2559158048390262	0.14341376431233813	36/4/2/2	cosine	average
лира	0.4440789473684211	5	0.2304899106487535	0.13048918858007644	33/16	cosine	average
мина	0.07867688282564007	3	0.17153374187241807	0.09641510520542267	51/12/2	cosine	average
мишень	-0.0006727211570803902	2	0.15168490111390137	0.083973440835484	88/33	cosine	average
обед	0.03470899659689483	3	0.22620092459018615	0.12762913908869358	62/19/17/2	cosine	average
оклад	0.02584734053621106	8	0.1948884861808254	0.11146283455872569	137/5/4	cosine	average
опушка	0.10750166280787013	3	0.18275442755577098	0.10585233218344699	142/6	cosine	average
полис	0.0005991986233840246	8	0.18516983881458607	0.10661513912403144	139/3	cosine	average
пост	0.04388885283220489	9	0.271044770177896	0.15307834291643335	98/32/10/2/2	cosine	average
поток	0.0037414412580642127	4	0.1861747958046897	0.10645102563315859	124/12	cosine	average
проказа	0.0748400086544634	2	0.21338724731860156	0.11920765281037281	95/51	cosine	average
пропасть	0.04622854364556626	4	0.22145167223937778	0.12822150898803591	92/25/7/3	cosine	average
проспект	0.15319011222376872	4	0.219605665280089	0.12628017654845197	117/12/6/4	cosine	average
пытка	0.0313778773488442	4	0.18943332189589615	0.10583830467798916	116/27	cosine	average
рысь	0.057495760872574096	9	0.21001768839337503	0.1196574476971039	82/38	cosine	average
среда	0.3290230083127697	3	0.3246859428180162	0.19037617474946888	52/47/32/13	cosine	average
хвост	0.1969288279768439	3	0.27032748591676736	0.15701053752928543	100/12/8/1	cosine	average
штамп	0.01311501144961317	3	0.19695367153107213	0.11183674456550657	47/45/3/1	cosine	average
