word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.03432362064060928	2	0.8281914731014979	0.7424481289094653	81/38	cosine	average
вид	0.02291756848679735	2	0.8251526618053543	0.7367130684324437	38/36/3	cosine	average
винт	-0.00833130850274042	9	0.4610388723247833	0.3275006618805063	67/39/16/1	cosine	average
горн	-0.02501400037334329	9	0.5252522438516021	0.3358592984246363	30/20/1	cosine	average
губа	0.0027798147366950446	8	0.49386645254806993	0.34042251546343866	132/3/2	cosine	average
жаба	0.058903352496215054	6	0.6842483302919281	0.509176870901888	79/27/9/6	cosine	average
клетка	0.03201655000144969	7	0.5939908205582873	0.40640406769263987	96/38/7/4/4/1	cosine	average
крыло	-0.07572419886284815	2	0.8708656185129616	0.7002802210690621	51/19/7/5/4/3/1/1	cosine	average
купюра	0.1598348153747574	6	0.577914682731552	0.3851678585757769	138/12	cosine	average
курица	0.021401449775629963	2	0.6280949104984279	0.3883724006594794	62/31	cosine	average
лавка	-0.006499739300989074	3	0.8564676107915933	0.6548947847660513	82/67	cosine	average
лайка	-0.08636850562399571	2	0.8602029051767168	0.7069990508113296	81/18	cosine	average
лев	0.12674801817048187	7	0.5689855089168054	0.38713716220586836	36/4/2/2	cosine	average
лира	-0.024149358532663975	9	0.4060612030769022	0.263376443634476	33/16	cosine	average
мина	-0.05251630395788726	2	0.8240814783266521	0.6313819490907602	51/12/2	cosine	average
мишень	0.12250128139415685	9	0.5189300092209616	0.3277668802568494	88/33	cosine	average
обед	0.1459178997220571	9	0.39318051699731327	0.2613140105165468	62/19/17/2	cosine	average
оклад	0.05718105597503155	6	0.5875256287612778	0.42863706285066033	137/5/4	cosine	average
опушка	0.12638775583160886	3	0.9138589282858074	0.746441427466908	142/6	cosine	average
полис	0.4874174917491749	2	0.7053527605631422	0.6962292891686978	139/3	cosine	average
пост	0.0641441080810608	4	0.8700213945920622	0.6862838284670373	98/32/10/2/2	cosine	average
поток	0.07147240158293823	6	0.5435759854488336	0.41943684027343203	124/12	cosine	average
проказа	0.1435481307566958	7	0.5876973740556306	0.43550137312412646	95/51	cosine	average
пропасть	0.19499425579707247	8	0.6090997690918152	0.4431511963730762	92/25/7/3	cosine	average
проспект	0.1293354555164274	8	0.6401885037731068	0.45612735437746993	117/12/6/4	cosine	average
пытка	0.07314028049464855	7	0.44415914579655064	0.3253438027598666	116/27	cosine	average
рысь	0.23544479892716613	8	0.6351982607217754	0.42239502999882766	82/38	cosine	average
среда	0.22949220270375464	7	0.5607320786462076	0.3833945372909583	52/47/32/13	cosine	average
хвост	-0.0792294123610715	7	0.5290617509680717	0.37393226306346916	100/12/8/1	cosine	average
штамп	0.015150121421738171	6	0.7146173338195175	0.5573061220883107	47/45/3/1	cosine	average
