word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	0.18728681695193272	2	0.15149007212256937	0.0773181733378089	31/2/1	cosine	average
время	0.11958762886597939	5	0.1412954793837189	0.07823132165016755	14/11/4/2/2/2	cosine	average
год	0.45838668373879643	7	0.23228797143192784	0.12343366878863002	22/6/5	cosine	average
голова	0.4507880072476155	6	0.12804625096944597	0.07079027918050203	22/11/1/1	cosine	average
город	0.0015446400988569664	7	0.10545731268649053	0.05689325566883712	31/1	cosine	average
государство	-0.014065881221447463	9	0.14000334929788144	0.07471300142951051	33/1/1	cosine	average
дело	0.1341401916288452	9	0.10721851836386544	0.0541911372656043	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	0.3298384045830406	3	0.1296819075604144	0.06697072001133204	25/2/2/2/1	cosine	average
друг	0.3791716696116316	6	0.179840820905797	0.11795076912246041	26/8/1	cosine	average
жена	1.0	2	0.09697139971153745	0.051424465945565934	34/1	cosine	average
женщина	0.0	7	0.11971943957794688	0.06465569570594239	35	cosine	average
жизнь	0.15197225370542425	8	0.11499228215284825	0.06092729913413933	27/6/1/1	cosine	average
лицо	0.68652099773962	3	0.12200853023065913	0.06636209420021036	23/11/1	cosine	average
место	0.24781263515086996	4	0.10774728914878254	0.05782364764386181	25/6/3/1	cosine	average
мир	0.3541049275480799	3	0.08662916600620084	0.04690439237423007	25/4/3/1/1	cosine	average
ночь	0.0	9	0.11256491763575603	0.05899787040858558	35	cosine	average
работа	0.14604263660867434	8	0.10017603998588409	0.05358248114765034	20/7/4/3/1	cosine	average
результат	0.010775287419420613	7	0.10073622311454838	0.05342429971557009	33/2	cosine	average
рука	0.6464646464646465	2	0.13867195481227634	0.07960081596881614	33/1/1	cosine	average
сила	0.08869805024186703	2	0.08015350517247825	0.04246107720783063	15/10/6/2/1/1	cosine	average
слово	0.22611239191474872	3	0.07288988760563588	0.038603591093402556	19/15/1	cosine	average
сторона	0.8580113636363637	4	0.10449469498944386	0.05459900635146537	25/4/3/2/1	cosine	average
тысяча	0.7038154080407601	3	0.06765177354330308	0.037456175096388024	29/5/1	cosine	average
человек	0.002553657201921323	7	0.16614289374616698	0.08479543328501633	33/1/1	cosine	average
