word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
дар	0.08787566876675451	4	0.12596454639012167	0.0690136505638284	15/13/8	cosine	average
двигатель	0.7144581221337195	2	0.11677379114169	0.061137941646549836	8/6	cosine	average
двойник	0.1441974473839912	2	0.08753654995224545	0.04663236795089808	7/7/6/5	cosine	average
дворец	0.1510204081632653	4	0.14619452543435893	0.08173147933315447	7/6	cosine	average
девятка	-0.0034376696218563416	2	0.13421845238235613	0.07252488047072764	7/6/6/5/5/5/5/4/4	cosine	average
дедушка	0.0	0	-1.0	-1.0	5/4	cosine	average
дежурная	-0.08092485549132948	5	0.10786537951566759	0.05798581882536317	6/6	cosine	average
дежурный	0.0	0	-1.0	-1.0	7/6	cosine	average
декабрист	0.0	1	-1.0	-1.0	7/4	cosine	average
декрет	0.0	1	-1.0	-1.0	6/6	cosine	average
дело	0.09279043788871143	3	0.09605291627649942	0.052496884277994316	11/10/9/9/8/8/8/8/8/7/7/7/7/6/6/5/5	cosine	average
демобилизация	0.12667946257197696	2	0.1289836179577668	0.06985086382524629	8/6	cosine	average
демократ	0.20872250096487843	2	0.09811065422964124	0.05224790471993459	7/6/5	cosine	average
демонстрация	0.08980629119397392	2	0.08360709756963174	0.044591727815014914	8/8/7/7/7	cosine	average
дерево	0.38636363636363635	2	0.1888195755896332	0.10514817149184105	9/8/4	cosine	average
держава	-0.01694915254237288	2	0.08847844228081714	0.04676281677866165	8/7	cosine	average
дерзость	0.008847450312153525	3	0.08788649115214939	0.047755674626107414	7/6/6/5/5/4/4	cosine	average
десятка	0.003731118733826804	2	0.10772062960083068	0.05986229192085746	7/7/6/5/4/4/3	cosine	average
десяток	-0.009773976786805132	3	0.06663802450784514	0.03509238951358056	11/8	cosine	average
деятель	0.0	2	0.09365576769156385	0.049243890445096965	7/7	cosine	average
диалог	0.006644518272425249	3	0.08376337329240553	0.04505146840725911	7/7	cosine	average
диаметр	0.1690885072655218	2	0.10687975644199663	0.057187463935162754	7/6/5	cosine	average
диплом	-0.026133743274404306	3	0.12966444141120145	0.07569817166105157	8/7/6/4	cosine	average
директор	0.13725490196078433	2	0.1489567463658128	0.07900028294638246	7/4	cosine	average
диск	0.19179253142091346	3	0.1263045747977941	0.07055064913653224	8/8/7/7/6/6/6/5/5/4	cosine	average
дичь	0.5258964143426295	3	0.16683823606602619	0.0903032329345942	6/6/6	cosine	average
длина	-0.018691588785046728	2	0.18739807231015546	0.10386696076259261	11/5/5	cosine	average
доброволец	0.0	0	-1.0	-1.0	7/5	cosine	average
добыча	0.3170634695153134	2	0.13816875870407452	0.07526519560626337	8/7/7/5/5/3	cosine	average
доказательство	0.0	1	-1.0	-1.0	9/9/6	cosine	average
доктор	0.0	1	-1.0	-1.0	9/8	cosine	average
долгота	0.49072164948453606	5	0.1151443338553746	0.06077534092211468	7/6	cosine	average
доля	0.16356128512438312	3	0.1623899441629638	0.0967122293418891	8/8/7/7/6/5/4	cosine	average
дом	0.05305647478090112	4	0.09101995583432276	0.049474871797516945	6/6/6/4/4/4/3/3	cosine	average
дорога	0.0	1	-1.0	-1.0	10/9/8/6/5/5/4	cosine	average
достижение	0.18572825024437928	2	0.13050953952782005	0.07450181749637465	7/7/5/3	cosine	average
древесина	0.20608108108108109	3	0.08287143497617863	0.04393544787448785	9/7	cosine	average
дупло	0.3812154696132597	4	0.19057678696095312	0.10281957569096159	9/6	cosine	average
дура	0.0	0	-1.0	-1.0	8/3/1	cosine	average
дух	0.12742686708110434	3	0.08191713140792486	0.04411593262740527	11/9/9/8/7/7/6/5/5/4/4	cosine	average
дым	0.1050993536030644	4	0.15760197579707752	0.09001801090737208	10/9/9	cosine	average
дымка	0.07565011820330969	4	0.09425775405152409	0.04905884062307724	9/9	cosine	average
дыхание	0.22280058025428792	4	0.15159149900735996	0.08300344165114511	11/9/8/8/7/7/5	cosine	average
дьявол	0.0	1	-1.0	-1.0	8/6/5/3	cosine	average
евро	1.0	2	0.12608083033570602	0.06891907078328667	7/1	cosine	average
езда	-0.05	4	0.10163394021005605	0.054564424632015836	9/5	cosine	average
жаворонок	0.29906542056074764	6	0.05275149724443136	0.027080385161463976	6/4	cosine	average
жало	0.14814814814814814	4	0.0823534695433818	0.044456200840748354	6/5	cosine	average
жертва	0.20898276901712134	2	0.11679110190520814	0.06338365058056881	10/8/8/7/4	cosine	average
жестокость	0.1833616298811545	3	0.09496003841249948	0.05042942234974939	8/6	cosine	average
жидкость	-0.0784313725490196	3	0.08540212217790637	0.04514460976884444	6/6	cosine	average
жила	0.30985915492957744	5	0.055653679833130854	0.028938210146300675	5/1/1	cosine	average
жилец	0.0	1	-1.0	-1.0	9/7	cosine	average
жир	-0.04298356510745891	4	0.1118979830683164	0.0608824234675657	8/7	cosine	average
жребий	0.8062015503875969	3	0.11444848462480611	0.06253247943672595	8/7	cosine	average
заведение	1.0	3	0.14907367344121844	0.0811738607146396	6/4/1	cosine	average
завещание	0.0	1	-1.0	-1.0	10/6	cosine	average
зависимость	0.4245049504950495	2	0.1395558707727534	0.0753908419411778	8/7/6	cosine	average
заголовок	0.009671776931783106	2	0.1891274652158731	0.10786803698041864	7/6/5/4	cosine	average
заготовка	0.5585400052580843	3	0.1333520285126145	0.07262449943890756	8/7/6/5	cosine	average
задание	0.034832658281816246	2	0.08064831365913432	0.0436388549051802	9/8/7/5/4	cosine	average
задача	0.0	1	-1.0	-1.0	10/8/7/6/5	cosine	average
задержка	0.004299333662829819	2	0.09786514567847136	0.0547619379530162	9/9/8/6/5/5/5/4/4	cosine	average
зажигалка	0.0	1	-1.0	-1.0	7/6	cosine	average
закон	-0.0070295896681379765	2	0.11158793729191012	0.06305613502647843	9/9/9/8/7/7/7	cosine	average
закрытие	0.049267360373752386	2	0.21818915655919105	0.12334233282642774	7/6/5/5/4/4/4/2	cosine	average
