word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
дар	0.08787566876675451	4	0.12697098628401335	0.06903416099936394	15/13/8	cosine	average
двигатель	0.7144581221337195	2	0.11929293333727073	0.06197711753988668	8/6	cosine	average
двойник	0.1441974473839912	2	0.09122648986231871	0.04847460421645564	7/7/6/5	cosine	average
дворец	0.2909090909090909	4	0.1377840041859593	0.07459932625071854	7/6	cosine	average
девятка	-0.0034376696218563416	2	0.13597734435022255	0.07334275790763203	7/6/6/5/5/5/5/4/4	cosine	average
дедушка	0.0	0	-1.0	-1.0	5/4	cosine	average
дежурная	-0.08092485549132948	5	0.10814885388367573	0.0566320172525755	6/6	cosine	average
дежурный	0.0	0	-1.0	-1.0	7/6	cosine	average
декабрист	0.0	1	-1.0	-1.0	7/4	cosine	average
декрет	0.0	1	-1.0	-1.0	6/6	cosine	average
дело	0.08919798240059393	3	0.09835395614387105	0.0530946956439144	11/10/9/9/8/8/8/8/8/7/7/7/7/6/6/5/5	cosine	average
демобилизация	0.12667946257197696	2	0.13087930436031966	0.07013882765709009	8/6	cosine	average
демократ	0.2136371423676546	2	0.11670504447218673	0.06135993875581139	7/6/5	cosine	average
демонстрация	0.08980629119397392	2	0.08410694543320935	0.04502648258778515	8/8/7/7/7	cosine	average
дерево	0.38636363636363635	2	0.19155159870000954	0.10574458712599946	9/8/4	cosine	average
держава	-0.01694915254237288	2	0.08947596018033765	0.04675075331829475	8/7	cosine	average
дерзость	0.008847450312153525	3	0.08860956160056399	0.04741106218840224	7/6/6/5/5/4/4	cosine	average
десятка	0.003731118733826804	2	0.10972490691100888	0.05962227137163856	7/7/6/5/4/4/3	cosine	average
десяток	0.021392560294318026	3	0.06756233465985632	0.035037508770267685	11/8	cosine	average
деятель	0.0	2	0.09384831118611635	0.04911713790650831	7/7	cosine	average
диалог	0.006644518272425249	3	0.08546958081985447	0.04491547948729778	7/7	cosine	average
диаметр	-0.03302509907529723	2	0.10513537847663866	0.05259611733098923	7/6/5	cosine	average
диплом	-0.026133743274404306	3	0.13135573875050277	0.0759339972660852	8/7/6/4	cosine	average
директор	0.13725490196078433	2	0.15021255304138	0.07930060325839011	7/4	cosine	average
диск	0.1091795555994795	3	0.11647719651556386	0.0660560687953622	8/8/7/7/6/6/6/5/5/4	cosine	average
дичь	0.5258964143426295	3	0.1664448918377425	0.08966565445556145	6/6/6	cosine	average
длина	-0.03398692810457516	2	0.19506368193691984	0.11382756803241893	11/5/5	cosine	average
доброволец	0.0	0	-1.0	-1.0	7/5	cosine	average
добыча	0.3170634695153134	2	0.13964186347695576	0.07598311910264798	8/7/7/5/5/3	cosine	average
доказательство	0.0	1	-1.0	-1.0	9/9/6	cosine	average
доктор	0.0	1	-1.0	-1.0	9/8	cosine	average
долгота	0.49072164948453606	5	0.11513353353331404	0.06068956412402608	7/6	cosine	average
доля	0.16356128512438312	3	0.16133567360485837	0.0960479859549693	8/8/7/7/6/5/4	cosine	average
дом	0.05305647478090112	4	0.09377152465511461	0.049613616244016556	6/6/6/4/4/4/3/3	cosine	average
дорога	0.0	1	-1.0	-1.0	10/9/8/6/5/5/4	cosine	average
достижение	0.18572825024437928	2	0.13322465476804915	0.07442298173424818	7/7/5/3	cosine	average
древесина	0.20608108108108109	3	0.08277717433069526	0.043946026598915194	9/7	cosine	average
дупло	0.3812154696132597	4	0.19109296398887407	0.10331675575062632	9/6	cosine	average
дура	0.0	0	-1.0	-1.0	8/3/1	cosine	average
дух	0.08626296181398874	3	0.08410659607380545	0.045700866478211415	11/9/9/8/7/7/6/5/5/4/4	cosine	average
дым	0.35564853556485354	4	0.11654161939930875	0.061929118682873714	10/9/9	cosine	average
дымка	0.014106583072100314	4	0.09568443110448958	0.047480060028112094	9/9	cosine	average
дыхание	0.10310540003059507	4	0.1233853980524331	0.06907415082225513	11/9/8/8/7/7/5	cosine	average
дьявол	0.0	1	-1.0	-1.0	8/6/5/3	cosine	average
евро	-0.14285714285714285	2	0.12860334697770515	0.06318420396281431	7/1	cosine	average
езда	-0.05	4	0.10342270222371087	0.05437493847934867	9/5	cosine	average
жаворонок	0.29906542056074764	6	0.05160163037583502	0.026705950039608163	6/4	cosine	average
жало	0.14814814814814814	4	0.07598933627216511	0.04069119959443576	6/5	cosine	average
жертва	0.27319247276328823	2	0.12392364897622321	0.06705601824782143	10/8/8/7/4	cosine	average
жестокость	0.1833616298811545	3	0.09665859084570243	0.05051922652858789	8/6	cosine	average
жидкость	-0.0784313725490196	3	0.08554960563134327	0.0454268284597906	6/6	cosine	average
жила	0.30985915492957744	5	0.056815430635381636	0.028514167590044208	5/1/1	cosine	average
жилец	0.0	1	-1.0	-1.0	9/7	cosine	average
жир	-0.04298356510745891	4	0.10912968354420931	0.057859816505353705	8/7	cosine	average
жребий	0.8062015503875969	3	0.11546729234260722	0.06283632648185856	8/7	cosine	average
заведение	0.6501766784452296	3	0.12370219397666869	0.067176034538334	6/4/1	cosine	average
завещание	0.0	1	-1.0	-1.0	10/6	cosine	average
зависимость	0.4245049504950495	2	0.13814131033798313	0.07557290588451286	8/7/6	cosine	average
заголовок	0.009671776931783106	2	0.18801162457575063	0.10805553967696703	7/6/5/4	cosine	average
заготовка	0.32238335727192696	3	0.1266687232166147	0.06798539354770056	8/7/6/5	cosine	average
задание	0.014714193837578687	2	0.07224790876126182	0.037440364883575716	9/8/7/5/4	cosine	average
задача	0.0	1	-1.0	-1.0	10/8/7/6/5	cosine	average
задержка	0.004299333662829819	2	0.09605455203336878	0.056683830104582035	9/9/8/6/5/5/5/4/4	cosine	average
зажигалка	0.0	1	-1.0	-1.0	7/6	cosine	average
закон	-0.0070295896681379765	2	0.11680150721123468	0.06331017444401167	9/9/9/8/7/7/7	cosine	average
закрытие	0.049267360373752386	2	0.22743372526972333	0.12444014955260577	7/6/5/5/4/4/4/2	cosine	average
заложник	0.0	1	-1.0	-1.0	7/6	cosine	average
замена	-0.039603960396039604	2	0.05457836993042304	0.0301840219331655	9/7	cosine	average
западня	0.2294863242161441	4	0.08618195693432704	0.04565665113777054	7/4	cosine	average
запятая	0.0	1	-1.0	-1.0	9/5	cosine	average
застой	0.08030592734225621	3	0.05803382707662376	0.03184974692748704	7/6	cosine	average
затея	-0.11428571428571428	3	0.1768772238435815	0.10571075753781412	9/3	cosine	average
затишье	0.009523809523809525	2	0.05807993061100492	0.028137443392792772	6/5/5	cosine	average
затмение	0.6901408450704225	3	0.15417302960121612	0.08287364475829782	7/5	cosine	average
затруднение	0.8468271334792122	3	0.10926201627303486	0.05729079702222821	9/6	cosine	average
захоронение	0.36538461538461536	2	0.15708358296600783	0.08427555305731414	8/8/4/2	cosine	average
звезда	0.22786292917127254	2	0.1328386776573402	0.07268740151021487	15/11/8/6	cosine	average
звон	0.2125	4	0.16944992989549792	0.09306248002393028	9/5	cosine	average
зеркало	0.111162575266327	2	0.0671655997008487	0.03562691005623185	10/5/5	cosine	average
зло	0.07853876276802585	3	0.13421498696573803	0.0773302478949072	9/8/6	cosine	average
злоупотребление	-0.04854368932038835	2	0.06028503567094937	0.029500960276827696	7/5	cosine	average
знак	0.2127371152868571	3	0.08809376837708185	0.04970353036137991	10/9/8/8/8/7/5	cosine	average
знамя	0.12246865959498554	3	0.05826371615945696	0.029479503121788292	9/5	cosine	average
значение	0.3003450503828547	4	0.1505628644395624	0.08165585216670469	10/8/6/6	cosine	average
зонт	0.23529411764705882	4	0.0889326782248154	0.047098285706939455	5/4	cosine	average
