word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
дар	0.14027676820320106	9	0.15813813825532502	0.08705172176530643	15/13/8	cosine	average
двигатель	0.7144581221337195	2	0.11677379114169	0.061137941646549836	8/6	cosine	average
двойник	0.21371396188991995	7	0.1127607708059225	0.06094357063728607	7/7/6/5	cosine	average
дворец	0.1510204081632653	4	0.14619452543435893	0.08173147933315447	7/6	cosine	average
девятка	0.035762234932779136	3	0.14759073308794296	0.08301269611728218	7/6/6/5/5/5/5/4/4	cosine	average
дедушка	0.05813953488372093	2	0.07871699864664386	0.0413376433928869	5/4	cosine	average
дежурная	-0.04610951008645533	4	0.12891265405146704	0.06894382115920356	6/6	cosine	average
дежурный	-0.0196078431372549	2	0.13461730661439547	0.0710048914992747	7/6	cosine	average
декабрист	0.7808764940239044	3	0.10958369889685024	0.05743854503655546	7/4	cosine	average
декрет	1.0	2	0.22777079445862367	0.1233059880328292	6/6	cosine	average
дело	0.1790379558554012	9	0.14533291465634526	0.08054411954522893	11/10/9/9/8/8/8/8/8/7/7/7/7/6/6/5/5	cosine	average
демобилизация	0.4330924495389983	5	0.16123877902003378	0.08649670507930533	8/6	cosine	average
демократ	0.062026685899747566	6	0.1359698000035785	0.07453619682988132	7/6/5	cosine	average
демонстрация	0.19991201502512648	8	0.1478721991203221	0.07924078872693315	8/8/7/7/7	cosine	average
дерево	0.676923076923077	4	0.23401456572046472	0.13067988148600626	9/8/4	cosine	average
держава	0.17670682730923695	7	0.13714840228268124	0.07288800633826517	8/7	cosine	average
дерзость	0.10014690146720108	8	0.17190922224147426	0.09268681320354384	7/6/6/5/5/4/4	cosine	average
десятка	0.1475467702082598	9	0.16211885369801504	0.09089981063565927	7/7/6/5/4/4/3	cosine	average
десяток	-0.02034174125305126	2	0.07348872868417687	0.038637701263123714	11/8	cosine	average
деятель	0.13644524236983843	7	0.09985086852375923	0.0526879879879813	7/7	cosine	average
диалог	0.22996515679442509	4	0.13029887703849746	0.06951934720238113	7/7	cosine	average
диаметр	0.04265100242625463	9	0.17981690935081762	0.10026927033889242	7/6/5	cosine	average
диплом	0.08536585365853659	8	0.19354737697398425	0.10906622098519003	8/7/6/4	cosine	average
директор	0.13725490196078433	2	0.1489567463658128	0.07900028294638246	7/4	cosine	average
диск	0.477446963057707	9	0.17269416127323095	0.09581023564399355	8/8/7/7/6/6/6/5/5/4	cosine	average
дичь	0.5405405405405406	2	0.18722760861379129	0.10126711273371798	6/6/6	cosine	average
длина	0.0547008547008547	8	0.23204175836798033	0.1288966193524367	11/5/5	cosine	average
доброволец	0.18331805682859761	2	0.16127483680970706	0.08748806250775848	7/5	cosine	average
добыча	0.39527575612434435	8	0.23645096904781435	0.13439114768545268	8/7/7/5/5/3	cosine	average
доказательство	0.13990321161460625	8	0.12453536175656121	0.06614360793300719	9/9/6	cosine	average
доктор	0.5765124555160143	5	0.09974940841406664	0.05236650275200881	9/8	cosine	average
долгота	0.49072164948453606	5	0.1151443338553746	0.06077534092211468	7/6	cosine	average
доля	0.44045850732883046	9	0.22114338677201728	0.12715219555129087	8/8/7/7/6/5/4	cosine	average
дом	0.21918425599038532	9	0.1453076643940927	0.08059899557388155	6/6/6/4/4/4/3/3	cosine	average
дорога	0.17670466536775747	9	0.14886416423489277	0.08600818588288905	10/9/8/6/5/5/4	cosine	average
достижение	0.466403162055336	4	0.23462725444752738	0.13159299529204177	7/7/5/3	cosine	average
древесина	0.14893617021276595	4	0.09148780488774821	0.04801103849523036	9/7	cosine	average
дупло	0.3812154696132597	4	0.19057678696095312	0.10281957569096159	9/6	cosine	average
дура	0.13579049466537343	8	0.1634790980211932	0.09444911639335905	8/3/1	cosine	average
дух	0.17564002630436384	6	0.11197229503581271	0.060504092705689926	11/9/9/8/7/7/6/5/5/4/4	cosine	average
дым	0.20460176991150442	9	0.19218010436899594	0.10816518804919013	10/9/9	cosine	average
дымка	-0.01867704280155642	3	0.10018707169403006	0.05234618610824841	9/9	cosine	average
дыхание	0.22162449751714353	9	0.17587514855843384	0.09837410536523233	11/9/8/8/7/7/5	cosine	average
дьявол	0.5692631578947368	9	0.1977533007142704	0.1121902133259221	8/6/5/3	cosine	average
евро	0.3125	4	0.14510684084261016	0.0794331796580967	7/1	cosine	average
езда	-0.08254430687059966	2	0.10853444187131824	0.058319341316966984	9/5	cosine	average
жаворонок	0.8648648648648649	3	0.09697590248913363	0.05053074882069455	6/4	cosine	average
жало	0.0	6	0.1054227263297862	0.056708631389691885	6/5	cosine	average
жертва	0.2837206862179319	5	0.17705426223524434	0.09722009165415542	10/8/8/7/4	cosine	average
жестокость	0.38926174496644295	4	0.13717949989059572	0.07312003084042949	8/6	cosine	average
жидкость	0.07784431137724551	8	0.11816454349542044	0.0627668543884302	6/6	cosine	average
жила	0.5333333333333333	2	0.1177357995972853	0.06189206949565514	5/1/1	cosine	average
жилец	-0.028112449799196786	2	0.1034260677007781	0.054323056611918684	9/7	cosine	average
жир	-0.03194103194103194	2	0.17919509754613377	0.09657632583444414	8/7	cosine	average
жребий	0.340878828229028	6	0.11924622287402216	0.06451646766449974	8/7	cosine	average
заведение	0.8513513513513513	2	0.1591286847222146	0.08672662451706879	6/4/1	cosine	average
завещание	0.08333333333333333	2	0.10457003588593282	0.05511348978018779	10/6	cosine	average
зависимость	0.4306371441482151	4	0.17348377630204032	0.0939296542342451	8/7/6	cosine	average
