word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
дар	0.14027676820320106	9	0.15758322333793515	0.08694467140687837	15/13/8	cosine	average
двигатель	0.7144581221337195	2	0.11929293333727073	0.06197711753988668	8/6	cosine	average
двойник	0.21371396188991995	7	0.11456163371703065	0.06215834609392192	7/7/6/5	cosine	average
дворец	0.2909090909090909	4	0.1377840041859593	0.07459932625071854	7/6	cosine	average
девятка	0.035762234932779136	3	0.14198612893172072	0.08255690516262641	7/6/6/5/5/5/5/4/4	cosine	average
дедушка	0.05813953488372093	2	0.07502729837843988	0.03935516200768839	5/4	cosine	average
дежурная	-0.04610951008645533	4	0.12849929297205834	0.06800316565790573	6/6	cosine	average
дежурный	-0.0196078431372549	2	0.13883523795617084	0.0761476388764458	7/6	cosine	average
декабрист	0.7808764940239044	3	0.11188630110472735	0.057479033329647836	7/4	cosine	average
декрет	1.0	2	0.23005908608236225	0.12480596876626986	6/6	cosine	average
дело	0.17129277988905314	9	0.1457389555722681	0.07957824400921636	11/10/9/9/8/8/8/8/8/7/7/7/7/6/6/5/5	cosine	average
демобилизация	0.4330924495389983	5	0.16376932449013984	0.0873777942297053	8/6	cosine	average
демократ	0.13840155945419103	5	0.13135536456142907	0.07216831802659583	7/6/5	cosine	average
демонстрация	0.19991201502512648	8	0.1488046707051021	0.0794846656296373	8/8/7/7/7	cosine	average
дерево	0.676923076923077	4	0.23359294241526216	0.13071214427576935	9/8/4	cosine	average
держава	0.17670682730923695	7	0.1377655865079063	0.07287165095722065	8/7	cosine	average
дерзость	0.10014690146720108	8	0.16995864830691132	0.09115402662843013	7/6/6/5/5/4/4	cosine	average
десятка	0.1407927572398584	8	0.1603891843401737	0.08898014453834624	7/7/6/5/4/4/3	cosine	average
десяток	-0.02034174125305126	2	0.07987643479958692	0.04153478608116375	11/8	cosine	average
деятель	0.13644524236983843	7	0.10065017742714404	0.05286927975145448	7/7	cosine	average
диалог	0.22996515679442509	4	0.13012106893414382	0.06928428148070312	7/7	cosine	average
диаметр	0.0918355918915892	5	0.15357966225203895	0.08605913733544661	7/6/5	cosine	average
диплом	0.08536585365853659	8	0.19236248709386636	0.10876687184922343	8/7/6/4	cosine	average
директор	0.13725490196078433	2	0.15021255304138	0.07930060325839011	7/4	cosine	average
диск	0.46312768114811637	9	0.17242617115811326	0.09583353255341719	8/8/7/7/6/6/6/5/5/4	cosine	average
дичь	0.5405405405405406	2	0.18673455110115952	0.10132199244211276	6/6/6	cosine	average
длина	-0.058823529411764705	7	0.21787155676065756	0.12215266649462324	11/5/5	cosine	average
доброволец	0.18331805682859761	2	0.16251855809129293	0.08719885918581345	7/5	cosine	average
добыча	0.39527575612434435	8	0.23578786769558313	0.134238718316151	8/7/7/5/5/3	cosine	average
доказательство	0.13990321161460625	8	0.12379464720983153	0.06585130985114802	9/9/6	cosine	average
доктор	0.5765124555160143	5	0.10039815571524761	0.05232604796288437	9/8	cosine	average
долгота	0.49072164948453606	5	0.11513353353331404	0.06068956412402608	7/6	cosine	average
доля	0.44045850732883046	9	0.22074465679679098	0.12757174289417608	8/8/7/7/6/5/4	cosine	average
дом	0.21918425599038532	9	0.1441999896082172	0.08044178954871724	6/6/6/4/4/4/3/3	cosine	average
дорога	0.28439907093140276	9	0.1662052041896237	0.09420292806123097	10/9/8/6/5/5/4	cosine	average
достижение	0.466403162055336	4	0.23573121624183208	0.13157212773099516	7/7/5/3	cosine	average
древесина	0.1854419410745234	7	0.09283317787539117	0.04804755034517014	9/7	cosine	average
дупло	0.3812154696132597	4	0.19109296398887407	0.10331675575062632	9/6	cosine	average
дура	0.37559129612109743	4	0.16296741774665693	0.09303705281121794	8/3/1	cosine	average
дух	0.19774237240158057	7	0.10868761283757938	0.05998872220836085	11/9/9/8/7/7/6/5/5/4/4	cosine	average
дым	0.20460176991150442	9	0.1961182398978323	0.11036652778292184	10/9/9	cosine	average
дымка	0.014106583072100314	4	0.09568443110448958	0.047480060028112094	9/9	cosine	average
дыхание	0.2199274403839613	9	0.16526295625087917	0.0932956346813559	11/9/8/8/7/7/5	cosine	average
дьявол	0.5692631578947368	9	0.197716266962531	0.11040518856734245	8/6/5/3	cosine	average
евро	0.3125	4	0.14203366125452274	0.07767928495705032	7/1	cosine	average
езда	-0.08254430687059966	2	0.1123613565973171	0.058044840833628174	9/5	cosine	average
жаворонок	1.0	2	0.09897143716364645	0.052356527204727596	6/4	cosine	average
жало	0.041811846689895474	5	0.11177419192406997	0.05866451510066521	6/5	cosine	average
жертва	0.29414642100114136	4	0.17934714485899156	0.0980316528819573	10/8/8/7/4	cosine	average
жестокость	0.38926174496644295	4	0.13685067158820358	0.07323873754160051	8/6	cosine	average
жидкость	0.07784431137724551	8	0.11857050369183104	0.06274768977180438	6/6	cosine	average
жила	0.5333333333333333	2	0.13411111146215907	0.064901537856657	5/1/1	cosine	average
жилец	-0.028112449799196786	2	0.10536642166965685	0.05602026639977991	9/7	cosine	average
жир	-0.03194103194103194	2	0.1768165918567413	0.10673837429642109	8/7	cosine	average
жребий	0.340878828229028	6	0.1192434035338532	0.06450945956642881	8/7	cosine	average
заведение	0.8513513513513513	2	0.15928564072505771	0.08677781761769011	6/4/1	cosine	average
завещание	0.08333333333333333	2	0.1034949587407452	0.05533877982330722	10/6	cosine	average
зависимость	0.4306371441482151	4	0.17307152967486453	0.09395516992830275	8/7/6	cosine	average
заголовок	0.08770999115826703	6	0.20588911272446203	0.11490748048688126	7/6/5/4	cosine	average
заготовка	0.5536142076851822	8	0.19007599133410655	0.10285654138534908	8/7/6/5	cosine	average
задание	0.18142904181758315	9	0.1613734036135637	0.08872426944869616	9/8/7/5/4	cosine	average
задача	0.1542966090153888	8	0.15495936151627432	0.08493059352859728	10/8/7/6/5	cosine	average
задержка	0.06984584204394938	9	0.18992354640718684	0.11012848294682659	9/9/8/6/5/5/5/4/4	cosine	average
зажигалка	0.25102880658436216	4	0.12849736101506942	0.06921025755441418	7/6	cosine	average
закон	0.1803148792503531	9	0.12508824165489604	0.07004795061640041	9/9/9/8/7/7/7	cosine	average
закрытие	0.31997794523065615	9	0.25214385439396286	0.1429293199519152	7/6/5/5/4/4/4/2	cosine	average
заложник	0.1297071129707113	6	0.17121841955057834	0.09064235005035814	7/6	cosine	average
замена	0.22010398613518198	8	0.10206188041696672	0.05299468849751932	9/7	cosine	average
западня	0.34175531914893614	3	0.09507683295073192	0.04934588793592065	7/4	cosine	average
запятая	0.06230529595015576	6	0.131988104246883	0.07001211750275717	9/5	cosine	average
застой	0.24793388429752067	5	0.12148137340716719	0.06447556745552614	7/6	cosine	average
затея	-0.11428571428571428	3	0.1768772238435815	0.10571075753781412	9/3	cosine	average
затишье	0.24210526315789474	8	0.15531163271384163	0.08373708927769469	6/5/5	cosine	average
затмение	0.43374642516682554	5	0.16397765452512916	0.08754780340096112	7/5	cosine	average
затруднение	0.6340121078701155	5	0.1377284032921528	0.07283640290739875	9/6	cosine	average
захоронение	0.36538461538461536	2	0.15708358296600783	0.08427555305731414	8/8/4/2	cosine	average
звезда	0.5383829054617516	5	0.19680703341348688	0.10930591877595175	15/11/8/6	cosine	average
