word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.017195992354545095	2	0.846951833516609	0.673376860974489	81/38	cosine	average
вид	0.01950740802795663	2	0.8415323949088958	0.6747998420453004	38/36/3	cosine	average
винт	0.01392063943466073	2	0.6695634611919816	0.5570637165724425	67/39/16/1	cosine	average
горн	0.013615967816803342	9	0.5066863811762393	0.35015264103788496	30/20/1	cosine	average
губа	0.01647739258636912	9	0.487948339284777	0.3341103497779524	132/3/2	cosine	average
жаба	0.048074622765074196	2	0.6357205886149764	0.5269505449273817	79/27/9/6	cosine	average
клетка	0.0009142762965573748	9	0.4763148508309477	0.33200496806491236	96/38/7/4/4/1	cosine	average
крыло	-0.038003027326517176	2	0.7243107478780505	0.5979890665119022	51/19/7/5/4/3/1/1	cosine	average
купюра	0.023499973511395735	2	0.8047874731713934	0.6606273410995783	138/12	cosine	average
курица	1.2986169729238362e-05	7	0.6204464312445547	0.4390268851866828	62/31	cosine	average
лавка	-0.007539718016128509	2	0.8420730105450296	0.6429596352048804	82/67	cosine	average
лайка	-0.07815939565816209	2	0.8067125569861853	0.5984052050517987	81/18	cosine	average
лев	0.07869694669858135	2	0.7454258489783182	0.5910107452872587	36/4/2/2	cosine	average
лира	0.1910024748279486	4	0.6385942595488202	0.4961876858256167	33/16	cosine	average
мина	-0.023018422872015942	2	0.6303883503341507	0.5025846207921629	51/12/2	cosine	average
мишень	0.08335400645001241	3	0.6690603395446402	0.581255853342678	88/33	cosine	average
обед	0.11308427174545349	4	0.8741230838431924	0.6933529682060291	62/19/17/2	cosine	average
оклад	-0.011750206482787018	4	0.7465487230364227	0.560221126637798	137/5/4	cosine	average
опушка	0.12675482731838592	4	0.8577995257736922	0.6638597016367423	142/6	cosine	average
полис	0.471736856112401	2	0.6989109218566394	0.5482385787347026	139/3	cosine	average
пост	0.0641867555621106	5	0.7895704643187362	0.5744923918432749	98/32/10/2/2	cosine	average
поток	0.0016595670080433724	8	0.6631204874072534	0.47676933265571825	124/12	cosine	average
проказа	0.14537367903249698	9	0.6121788600218431	0.4259276432140894	95/51	cosine	average
пропасть	0.2048623516314633	6	0.718704984393731	0.5278013259044334	92/25/7/3	cosine	average
проспект	0.20728167760424812	8	0.6528712885007316	0.4503762743161855	117/12/6/4	cosine	average
пытка	0.0587951637540681	3	0.7154490313670839	0.5169044887531079	116/27	cosine	average
рысь	0.20517058839866434	9	0.6369249675385659	0.5025577081296326	82/38	cosine	average
среда	0.294495592487823	7	0.7405889340878823	0.5445255286227633	52/47/32/13	cosine	average
хвост	-0.026547941844819924	2	0.7587921341893322	0.6500040466820483	100/12/8/1	cosine	average
штамп	0.007688895287523014	7	0.6588782900241335	0.4704597083210749	47/45/3/1	cosine	average
