word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.020652385109232885	6	0.41126126316600314	0.2679347985739892	81/38	cosine	average
вид	0.11156090584920164	9	0.5057745588494686	0.3416343380267614	38/36/3	cosine	average
винт	0.0010981008899196446	2	0.7526470240863229	0.5235220634238558	67/39/16/1	cosine	average
горн	0.030800505128284104	9	0.3993221460445752	0.2968990239527742	30/20/1	cosine	average
губа	0.08449811027554376	5	0.44975873654289583	0.3273777341104261	132/3/2	cosine	average
жаба	0.018205777315879947	9	0.330038312252748	0.23024892619514045	79/27/9/6	cosine	average
клетка	0.16271574077638765	3	0.5896992496242631	0.4201072890178596	96/38/7/4/4/1	cosine	average
крыло	0.06633895429962881	9	0.3092186194658278	0.222707057105595	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.012161306907354737	9	0.4041223900812575	0.2819622497792264	138/12	cosine	average
курица	0.0035732877460652062	9	0.39610646612304523	0.2702033045722683	62/31	cosine	average
лавка	0.0072392197869592	6	0.6109681699940399	0.4364663340860061	82/67	cosine	average
лайка	-0.04076807574205399	5	0.4712659793645351	0.3194027701531123	81/18	cosine	average
лев	0.37231275545411113	5	0.43016125886232054	0.31027813878645083	36/4/2/2	cosine	average
лира	0.1097348621743273	8	0.47913515284119496	0.3124079785842934	33/16	cosine	average
мина	0.19485972692794934	3	0.48749648481493457	0.3606735360848301	51/12/2	cosine	average
мишень	0.13658936159320126	9	0.4581133937303243	0.2908177403832153	88/33	cosine	average
обед	0.08160972895804161	8	0.5634908017640187	0.37728122964274874	62/19/17/2	cosine	average
оклад	0.03048752416720336	6	0.5140823611092765	0.3964903337421824	137/5/4	cosine	average
опушка	0.19022613450774303	2	0.8801314348968785	0.6896577829586242	142/6	cosine	average
полис	0.06234828513540033	4	0.4069481555485142	0.32950848729662624	139/3	cosine	average
пост	0.06799610894941634	9	0.4747719705089509	0.31555832536336975	98/32/10/2/2	cosine	average
поток	0.0031850840065906737	4	0.5468467581465412	0.4121864045555017	124/12	cosine	average
проказа	0.12016184511218865	9	0.43613278620486706	0.2930953392922491	95/51	cosine	average
пропасть	0.22391240567063908	8	0.4650697609222052	0.3318411276079061	92/25/7/3	cosine	average
проспект	0.09360711799648638	7	0.4696587345804517	0.33531478396437153	117/12/6/4	cosine	average
пытка	0.15514969005543877	7	0.46951674611918026	0.32606591847894684	116/27	cosine	average
рысь	0.18340890270862484	8	0.4234245547375926	0.27392444898360685	82/38	cosine	average
среда	0.2934423289341755	9	0.5358025057725992	0.36347842399926095	52/47/32/13	cosine	average
хвост	-0.06810395865069281	2	0.698604554179289	0.484668830597129	100/12/8/1	cosine	average
штамп	0.0030062187854043537	3	0.678609396772815	0.5254677273713454	47/45/3/1	cosine	average
