word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.040756518756831735	4	0.1563841243283358	0.08981040869898398	81/38	cosine	average
вид	0.12348009741169372	3	0.2038815093708264	0.11463327598194788	38/36/3	cosine	average
винт	0.11788101430755807	3	0.18877589513018084	0.10788930351034354	67/39/16/1	cosine	average
горн	0.14267105018299112	8	0.20465385907287256	0.11921368189217606	30/20/1	cosine	average
губа	0.5542656243869717	2	0.2514553892118108	0.14472158929078582	132/3/2	cosine	average
жаба	0.057487447737589806	4	0.21033419074073648	0.11586725148795689	79/27/9/6	cosine	average
клетка	0.13533379548088298	4	0.24534986214500573	0.14096412050600546	96/38/7/4/4/1	cosine	average
крыло	0.2170422229164548	3	0.2094444437794033	0.118453864447672	51/19/7/5/4/3/1/1	cosine	average
купюра	0.03549763774911751	6	0.1805578049761238	0.10299666287958043	138/12	cosine	average
курица	0.022675502842503983	8	0.2204562808697666	0.12724141764042765	62/31	cosine	average
лавка	0.1902995907595064	3	0.29317837440910627	0.16924799375367353	82/67	cosine	average
лайка	0.17193881342056166	8	0.15459411637299802	0.08566703393823293	81/18	cosine	average
лев	0.020020409154963798	3	0.2521824016902783	0.14033302327732153	36/4/2/2	cosine	average
лира	0.5188270350805906	4	0.23505389775201319	0.13430665657911095	33/16	cosine	average
мина	0.07867688282564007	3	0.17479191884550135	0.09686159588113272	51/12/2	cosine	average
мишень	-0.0006727211570803902	2	0.15132185904002063	0.08366759279884486	88/33	cosine	average
обед	0.034457518362416145	3	0.22569556690786954	0.12747686711880923	62/19/17/2	cosine	average
оклад	0.013449038156837208	4	0.17290370394773114	0.09812366089872884	137/5/4	cosine	average
опушка	0.10748291282382307	2	0.24672869948402615	0.140983338951515	142/6	cosine	average
полис	0.0027364415296916864	7	0.16710821723396102	0.09726200837595785	139/3	cosine	average
пост	0.056944558746879544	2	0.1600199252725136	0.09065964303604537	98/32/10/2/2	cosine	average
поток	0.0037414412580642127	4	0.18331313031276775	0.1062892856381676	124/12	cosine	average
проказа	0.0748400086544634	2	0.2156272230608113	0.12051890971660119	95/51	cosine	average
пропасть	0.06464029728302198	3	0.25315630852363674	0.14642800209852064	92/25/7/3	cosine	average
проспект	0.1765481650901915	4	0.22280050861813008	0.12782762910819087	117/12/6/4	cosine	average
пытка	0.030736859573957092	4	0.18304112909686185	0.1016724926312551	116/27	cosine	average
рысь	0.11394128657522963	8	0.2054264520013182	0.11668958928275235	82/38	cosine	average
среда	0.3290230083127697	3	0.3282664679282139	0.19329551940397038	52/47/32/13	cosine	average
хвост	0.1962062240863494	5	0.29811113401184314	0.17365773642295448	100/12/8/1	cosine	average
штамп	0.01311501144961317	3	0.19427016900031666	0.10967052218405297	47/45/3/1	cosine	average
