word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.02829441066705739	2	0.1492652644132746	0.08594453420320379	81/38	cosine	average
вид	0.15287531043932517	4	0.21186772477318597	0.11695882354243121	38/36/3	cosine	average
винт	0.09351444259874492	5	0.2011692609922991	0.12120442220565038	67/39/16/1	cosine	average
горн	0.1395146505919274	9	0.21407166468049238	0.12218570495355316	30/20/1	cosine	average
губа	0.07302031989386235	7	0.20131923988450934	0.11290473678342447	132/3/2	cosine	average
жаба	0.01886532524234929	6	0.205233371921799	0.1163001055195625	79/27/9/6	cosine	average
клетка	0.14268633917613308	4	0.245813786652596	0.1476303915310362	96/38/7/4/4/1	cosine	average
крыло	0.15269645797497008	2	0.20891736812292547	0.12343753125635704	51/19/7/5/4/3/1/1	cosine	average
купюра	0.034554332518033255	9	0.17676802956892512	0.1046917534154567	138/12	cosine	average
курица	0.008775778850372971	9	0.24844084876273687	0.14577864917109182	62/31	cosine	average
лавка	0.14705390007210745	5	0.3276717509533878	0.1912823693631851	82/67	cosine	average
лайка	0.08410299468233977	2	0.25911512632084127	0.1465204025549589	81/18	cosine	average
лев	0.1635293589110023	5	0.17047966092880837	0.09937261821248478	36/4/2/2	cosine	average
лира	0.45041125688260486	3	0.22377018233277712	0.1305133102882431	33/16	cosine	average
мина	0.08309474457145398	4	0.22589312243687065	0.13057317417698902	51/12/2	cosine	average
мишень	0.08229124647035095	2	0.30599740600020814	0.18152837217389686	88/33	cosine	average
обед	0.09970304983253588	2	0.2246167981653648	0.12616056290145777	62/19/17/2	cosine	average
оклад	0.008583948244325134	7	0.1748223493127034	0.10390422683831281	137/5/4	cosine	average
опушка	0.19022613450774303	2	0.41627167709865864	0.25955052636050674	142/6	cosine	average
полис	0.005072596011999382	7	0.1739241510809199	0.09738419286819251	139/3	cosine	average
пост	0.0909907108856315	3	0.23377051375239566	0.1366072039143382	98/32/10/2/2	cosine	average
поток	-0.010525333014094732	4	0.2474284194584189	0.14448156326690131	124/12	cosine	average
проказа	0.07346718885465305	4	0.14272613876546492	0.08099279748881773	95/51	cosine	average
пропасть	0.0648150705804216	4	0.23815574384889138	0.1387180913351177	92/25/7/3	cosine	average
проспект	0.13431268326144732	5	0.2303737768896807	0.12505999739426263	117/12/6/4	cosine	average
пытка	0.05203018332697584	6	0.14994170907842744	0.08383225330932789	116/27	cosine	average
рысь	0.15965948967964433	3	0.13745100594028006	0.06748875517085619	82/38	cosine	average
среда	0.3437208459234598	2	0.3592566847307264	0.21436592082762684	52/47/32/13	cosine	average
хвост	0.14235623442831374	7	0.2735490916649786	0.16073436640014171	100/12/8/1	cosine	average
штамп	0.00828342850446641	7	0.198473944937006	0.11478530845765494	47/45/3/1	cosine	average
