word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.05254855715704433	6	0.4271397330097903	0.3200369246568797	81/38	cosine	average
вид	0.00301047530522512	2	0.8364821472602633	0.5913396267574682	38/36/3	cosine	average
винт	0.005680293277275371	8	0.31738980877803097	0.23808772433469072	67/39/16/1	cosine	average
горн	0.10260223048327137	7	0.4642572092083366	0.28522429603587246	30/20/1	cosine	average
губа	-0.008543695814073538	8	0.3179391416621005	0.23060906174805704	132/3/2	cosine	average
жаба	0.22940007252556255	7	0.30796766854060365	0.21108419207386492	79/27/9/6	cosine	average
клетка	0.04426661950957342	7	0.4131138950623626	0.31118985589550663	96/38/7/4/4/1	cosine	average
крыло	0.09394505142453133	3	0.6112643867165524	0.5026491566277389	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.0016022962330769094	4	0.5107278900983645	0.3079734604588958	138/12	cosine	average
курица	0.005585339503027091	3	0.4736943848866046	0.34865476726484546	62/31	cosine	average
лавка	0.027366050497097706	5	0.3315471246293561	0.20247136411592873	82/67	cosine	average
лайка	0.044508290957824694	4	0.4259130565925488	0.2993863442742043	81/18	cosine	average
лев	0.09537683705385835	7	0.3988469768454814	0.23235524775278807	36/4/2/2	cosine	average
лира	0.08602150537634409	2	0.5390698108134673	0.5108811521156832	33/16	cosine	average
мина	0.15062747285482656	5	0.43242105027703714	0.29760391757021454	51/12/2	cosine	average
мишень	0.06853766617429838	4	0.5319885975886717	0.40918087527450564	88/33	cosine	average
обед	0.03831076187769679	6	0.37537437596145584	0.23535056884631506	62/19/17/2	cosine	average
оклад	0.091420567418149	5	0.3103380455995804	0.27027932180887115	137/5/4	cosine	average
опушка	0.030153714031971958	9	0.3890375576437738	0.25340764078403427	142/6	cosine	average
полис	0.0032578140840613095	7	0.3670058405771403	0.27893758112544603	139/3	cosine	average
пост	0.09681139844885527	3	0.7369998777533104	0.5096090900573849	98/32/10/2/2	cosine	average
поток	-0.010707270809444567	4	0.4801165757791555	0.3665643982180561	124/12	cosine	average
проказа	0.0034553904090380994	3	0.6555720577221181	0.42161344616955576	95/51	cosine	average
пропасть	-0.01769452099429512	7	0.4108891598464829	0.24165764628694583	92/25/7/3	cosine	average
проспект	0.1327957325975175	2	0.8669065573425191	0.6445393046128199	117/12/6/4	cosine	average
пытка	0.005224537929488255	9	0.3050354420255101	0.21708964651401735	116/27	cosine	average
рысь	0.03092820318523997	8	0.4031066077913949	0.25185056407724615	82/38	cosine	average
среда	0.008753904207357575	2	0.8313291488138472	0.6197846844961532	52/47/32/13	cosine	average
хвост	0.0818597348652353	3	0.6548999419737386	0.4194603212203786	100/12/8/1	cosine	average
штамп	0.060662249823967805	3	0.5065995834888096	0.34395908266995406	47/45/3/1	cosine	average
