word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.009768754792921526	6	0.371239256982314	0.2477077892634996	81/38	cosine	average
вид	0.002375345994629396	8	0.33552971376251467	0.2071364305606678	38/36/3	cosine	average
винт	0.11722673810970938	9	0.3406606224242723	0.23453780278980926	67/39/16/1	cosine	average
горн	0.0475488389237007	2	0.46157905832177726	0.2970564266881001	30/20/1	cosine	average
губа	0.1185342737836443	3	0.4177880915300504	0.2746664827528101	132/3/2	cosine	average
жаба	0.11091035183590262	3	0.5048463958882515	0.3488347428758952	79/27/9/6	cosine	average
клетка	0.07470248475076934	6	0.24482268110919392	0.1781045362880725	96/38/7/4/4/1	cosine	average
крыло	0.03051981471950592	9	0.34573695824183237	0.2076261673378843	51/19/7/5/4/3/1/1	cosine	average
купюра	0.0028692753729266914	6	0.3478183479358122	0.229171043084344	138/12	cosine	average
курица	-0.01708527944079893	8	0.3798587989725553	0.22922177631547944	62/31	cosine	average
лавка	0.01767774088158687	4	0.3867199489972286	0.2502244244020753	82/67	cosine	average
лайка	0.01165653305458833	6	0.37821167134157413	0.24308484212642917	81/18	cosine	average
лев	-0.010041914076143904	7	0.4019077891868499	0.24875202870639465	36/4/2/2	cosine	average
лира	0.13666139597921842	2	0.3568742097846937	0.23232866096775195	33/16	cosine	average
мина	0.2423846513211551	3	0.36440258268849485	0.23761973182103163	51/12/2	cosine	average
мишень	0.011443433029908972	6	0.3709905131091073	0.2253118027728315	88/33	cosine	average
обед	0.0553368866471409	3	0.4744777255120352	0.33465324580176137	62/19/17/2	cosine	average
оклад	0.03424702006002349	4	0.26189324945984255	0.18550618980235456	137/5/4	cosine	average
опушка	0.22422687660962742	2	0.6746844694115829	0.45448828620825926	142/6	cosine	average
полис	0.005682210573148796	9	0.36920769086810207	0.22945616932336185	139/3	cosine	average
пост	0.1515807536662404	3	0.2076790537820005	0.17827439303946838	98/32/10/2/2	cosine	average
поток	-0.023294352779753086	2	0.4674867080865083	0.3056416003804191	124/12	cosine	average
проказа	0.001698178459748208	6	0.4199302289693474	0.2686613160090288	95/51	cosine	average
пропасть	0.05127818428228186	3	0.33904096899808644	0.2219059140139647	92/25/7/3	cosine	average
проспект	-0.005373962304417399	9	0.2802430398044365	0.18503784257908293	117/12/6/4	cosine	average
пытка	0.09134650251283334	2	0.4959628095975151	0.32016939763962665	116/27	cosine	average
рысь	-0.014258725942042359	2	0.5205716929038565	0.3281785374366356	82/38	cosine	average
среда	0.0293457246280933	9	0.266475446907669	0.17464362276559303	52/47/32/13	cosine	average
хвост	-0.01381340579710145	2	0.6924452805950843	0.47917098559213833	100/12/8/1	cosine	average
штамп	0.03244471952088946	4	0.23317928480495173	0.1852825006420975	47/45/3/1	cosine	average
