word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.27686595779777967	6	0.024764364105825262	0.012987122375837093	81/38	cosine	average
вид	0.3714162422276998	3	0.02719454958936093	0.014156295001568973	38/36/3	cosine	average
винт	0.4533206879224994	8	0.05778692320390727	0.03047643085346517	67/39/16/1	cosine	average
горн	0.2547237131953709	4	0.038813550770902115	0.020150542542358815	30/20/1	cosine	average
губа	0.08082130635322125	4	0.013096374176539175	0.006947799093822973	132/3/2	cosine	average
жаба	0.11993538379077283	6	0.023425054321564127	0.012441807004060435	79/27/9/6	cosine	average
клетка	0.7573069401189346	9	0.03976772467259559	0.020715052400268674	96/38/7/4/4/1	cosine	average
крыло	0.06909746704956198	9	0.038016023627107605	0.02027911618212677	51/19/7/5/4/3/1/1	cosine	average
купюра	0.2110954532340146	4	0.022602179205934072	0.01180267980248012	138/12	cosine	average
курица	0.11577866868088238	7	0.0412290024168143	0.021800610661369655	62/31	cosine	average
лавка	0.26036247008309127	4	0.034699193087627964	0.017961850261752895	82/67	cosine	average
лайка	0.24582962546917156	5	0.026836403454423768	0.014031028728962528	81/18	cosine	average
лев	0.3324880945018245	2	0.03015055506206715	0.015546955097278213	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.08019309877196813	0.04189644280603642	33/16	cosine	average
мина	0.3911753688408244	9	0.04986289734723505	0.026011287548017823	51/12/2	cosine	average
мишень	0.3318353220724211	6	0.02574582376071613	0.01379827594520526	88/33	cosine	average
обед	0.2170301406053524	6	0.033240359787183975	0.017349475760551517	62/19/17/2	cosine	average
оклад	0.5422323171240501	3	0.04408134526642997	0.022964178403659476	137/5/4	cosine	average
опушка	0.5851308547410004	3	0.027322202970461142	0.014566071360613431	142/6	cosine	average
полис	0.4874174917491749	2	0.05587101992295053	0.029210459170059103	139/3	cosine	average
пост	0.7437614594212053	7	0.02813135623449376	0.014925325948992381	98/32/10/2/2	cosine	average
поток	0.058532318778209164	9	0.043349388714658245	0.02258730447483168	124/12	cosine	average
проказа	0.32648943580466677	5	0.01771590861805983	0.009494827481097753	95/51	cosine	average
пропасть	0.28701109154517934	5	0.020273392334494166	0.010605749033028968	92/25/7/3	cosine	average
проспект	0.4255330966031813	4	0.011680073682037552	0.006420745737313547	117/12/6/4	cosine	average
пытка	0.07618766797987687	2	0.04335417454268491	0.022480843682407412	116/27	cosine	average
рысь	0.7449662533158817	4	0.03614587920564691	0.01899918118149481	82/38	cosine	average
среда	0.45668366085903755	9	0.047853221959153563	0.02527407251454962	52/47/32/13	cosine	average
хвост	0.14659646297502113	5	0.032169234606906856	0.016899371258659163	100/12/8/1	cosine	average
штамп	0.4513375316382892	2	0.04252192088235912	0.022038890056750055	47/45/3/1	cosine	average
