word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.29385976967638927	5	0.02560273762729323	0.012012549420629983	81/38	cosine	average
вид	0.307407674222132	3	0.02201157284590624	0.012895451667681182	38/36/3	cosine	average
винт	0.5148119885093726	6	0.05236929322310366	0.027575253430492653	67/39/16/1	cosine	average
горн	0.1886616232371346	7	0.05079313509826335	0.02652817036659979	30/20/1	cosine	average
губа	0.5088151488636109	2	0.026805176778754852	0.01429461057726699	132/3/2	cosine	average
жаба	0.1995955124429392	7	0.008942447545259068	0.0032520597452582	79/27/9/6	cosine	average
клетка	0.7599752029117381	8	0.03283175054305534	0.01597310833688815	96/38/7/4/4/1	cosine	average
крыло	0.21459930145453146	5	0.01902441284067575	0.009264911818787702	51/19/7/5/4/3/1/1	cosine	average
купюра	0.30226062529250325	5	0.024558277656203754	0.01051645870201264	138/12	cosine	average
курица	0.09182260788924586	6	0.0367296871714777	0.016612818455222323	62/31	cosine	average
лавка	0.21801343858628686	5	0.03206191937924818	0.015906072496006146	82/67	cosine	average
лайка	0.03037844150478765	6	0.010079927311603874	0.0018138341318907863	81/18	cosine	average
лев	0.12244897959183673	2	0.028240160581723125	0.011806363083876826	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.07676003405280508	0.0421564467108366	33/16	cosine	average
мина	0.5648850742314298	4	0.043629794818706616	0.022632896450572756	51/12/2	cosine	average
мишень	0.46238348868175766	2	0.05791521698856076	0.03007408331974816	88/33	cosine	average
обед	0.22649775371822417	6	0.032338572527660286	0.016389023327235124	62/19/17/2	cosine	average
оклад	0.33969559556481393	4	0.03650990177897338	0.017834596513508574	137/5/4	cosine	average
опушка	0.06685781182835612	9	0.01614280161059641	0.006823061023590902	142/6	cosine	average
полис	0.4874174917491749	2	0.05056836664283675	0.025855983827021332	139/3	cosine	average
пост	0.7200502943942279	6	0.031961926590338696	0.016185677219812757	98/32/10/2/2	cosine	average
поток	0.039935616242182184	5	0.04404196887454092	0.022035187961292238	124/12	cosine	average
проказа	0.4336676071162308	3	0.029808403885297246	0.015444960447824159	95/51	cosine	average
пропасть	0.28675448517572655	4	0.026095325785140108	0.013021789689688175	92/25/7/3	cosine	average
проспект	0.4486316022825748	3	0.02682831166903471	0.013935074714613149	117/12/6/4	cosine	average
пытка	0.18788349417944794	9	0.018972831174304292	0.009239761949128764	116/27	cosine	average
рысь	0.7246977256105374	4	0.03800046260550026	0.01841043238549657	82/38	cosine	average
среда	0.5205625337359768	9	0.03815810485382119	0.020365852472061668	52/47/32/13	cosine	average
хвост	0.1254829520079211	7	0.027297459149549407	0.012451918790016156	100/12/8/1	cosine	average
штамп	0.5931792328080518	2	0.04802092622550913	0.025009274354933598	47/45/3/1	cosine	average
