word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.05576512544978639	4	0.0491855593362943	0.020204743328692345	81/38	cosine	average
вид	0.02159654927913023	2	0.11702980133668718	0.05481967870903092	38/36/3	cosine	average
винт	0.24826283407057037	7	0.05292332052444055	0.01824346174810735	67/39/16/1	cosine	average
горн	0.14784330713534252	4	0.05103218324309368	0.02563300115260352	30/20/1	cosine	average
губа	0.2810601919432849	4	0.052486455303230393	0.01746191978553037	132/3/2	cosine	average
жаба	0.18214635482362326	9	0.02565408738886298	0.009609356980022658	79/27/9/6	cosine	average
клетка	0.7080276986442744	7	0.04978217908261056	0.021382620088644368	96/38/7/4/4/1	cosine	average
крыло	0.1611033995004196	9	0.02139085892777703	0.004856610053625292	51/19/7/5/4/3/1/1	cosine	average
купюра	0.15765039116991264	7	0.02401120403569783	0.002895528725109694	138/12	cosine	average
курица	-0.0013382103666696404	2	0.0861795825848376	0.03390978312791503	62/31	cosine	average
лавка	0.03609099614188726	8	0.042651736636151384	0.00829827945285918	82/67	cosine	average
лайка	0.08825695598433901	6	0.06377428387794641	0.02219982055149287	81/18	cosine	average
лев	0.03892280854775403	5	0.03538210586290534	0.01781078136613938	36/4/2/2	cosine	average
лира	0.33579988212952655	9	0.04663327590009911	0.019964369859713286	33/16	cosine	average
мина	0.35421176156914475	6	0.05977647799715888	0.028505186049000316	51/12/2	cosine	average
мишень	0.01612684645615937	2	0.16252251816052313	0.07021571812019949	88/33	cosine	average
обед	0.12385810781934495	5	0.02694078057395782	0.019099081787021407	62/19/17/2	cosine	average
оклад	0.33936077387222907	2	0.10416708869070171	0.06973507475292041	137/5/4	cosine	average
опушка	0.4961800448807164	4	0.06857263765590947	0.024441762130819732	142/6	cosine	average
полис	0.000600883183004351	5	0.05147690930187246	0.01936536214049855	139/3	cosine	average
пост	0.6735986836337315	6	0.040235051674077336	0.02070851813040951	98/32/10/2/2	cosine	average
поток	-0.012515364845234104	2	0.13370169119915137	0.08439181229514225	124/12	cosine	average
проказа	0.036686221415090516	9	0.04878723666927934	0.016162568502496047	95/51	cosine	average
пропасть	0.11504745736553747	7	0.018922137386447765	-0.002002837908779464	92/25/7/3	cosine	average
проспект	0.13239061988791115	9	0.028753629899057602	0.008146615784942584	117/12/6/4	cosine	average
пытка	0.31489358046528937	5	0.022299391051087834	0.0058932839791822665	116/27	cosine	average
рысь	0.018759253690462736	3	0.07146015949476597	0.03892072210607726	82/38	cosine	average
среда	0.3159971645239825	9	0.030345196337101796	0.009515857211718706	52/47/32/13	cosine	average
хвост	-0.01381340579710145	2	0.2314725501900077	0.12055957193731909	100/12/8/1	cosine	average
штамп	0.36560733735503254	9	0.02694119904255413	0.0033686669328757356	47/45/3/1	cosine	average
