word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.29385976967638927	5	0.025781428803078373	0.012482915784344455	81/38	cosine	average
вид	0.27291869081346143	6	0.02573613785089107	0.01178154695593352	38/36/3	cosine	average
винт	0.5065097654987532	8	0.04971470886358347	0.026254188486169724	67/39/16/1	cosine	average
горн	0.21369102682701202	3	0.03258964787025914	0.015595764559749772	30/20/1	cosine	average
губа	0.558722968143102	2	0.03984890265345901	0.01561695614292357	132/3/2	cosine	average
жаба	0.3614061031988034	5	0.010395501023822546	0.004214667435180349	79/27/9/6	cosine	average
клетка	0.7835980484998526	5	0.056221064950383856	0.020694580564058686	96/38/7/4/4/1	cosine	average
крыло	0.159295996419237	3	0.022371154158370172	0.008864661995686016	51/19/7/5/4/3/1/1	cosine	average
купюра	0.4601437339743602	3	0.020952893541632735	0.009226289700433241	138/12	cosine	average
курица	0.34259425942594257	7	0.023390560734286234	0.012086802084041752	62/31	cosine	average
лавка	0.1906193162323185	4	0.033467142067076426	0.01646913239636492	82/67	cosine	average
лайка	0.7666391542891674	2	0.033445526916157646	0.014719519425729457	81/18	cosine	average
лев	0.07682786290494686	7	0.027461605788385704	0.012941732245900495	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.08193865326415033	0.04198820313921506	33/16	cosine	average
мина	0.35715338870595176	3	0.046334141781204305	0.023022534639577333	51/12/2	cosine	average
мишень	0.4913017719610061	4	0.03396350824739424	0.018252262751202567	88/33	cosine	average
обед	0.20132171346133643	7	0.030696961489321592	0.015777890007930184	62/19/17/2	cosine	average
оклад	0.6268837662841475	3	0.04053456178981386	0.020447834742122275	137/5/4	cosine	average
опушка	0.6332465168027916	2	0.039928685937729205	0.01644152355398364	142/6	cosine	average
полис	0.8466131524753064	3	0.040985002581747025	0.013352907013295699	139/3	cosine	average
пост	0.7396410584325058	8	0.022977596399772746	0.012688483412678045	98/32/10/2/2	cosine	average
поток	0.07062987053676646	7	0.03316545028494929	0.015586952034584309	124/12	cosine	average
проказа	0.4169242081930176	3	0.034583726096374945	0.01548608539137567	95/51	cosine	average
пропасть	0.2736447386073968	4	0.026345475846541302	0.01415723568636994	92/25/7/3	cosine	average
проспект	0.30969670337159005	2	0.03125450559697765	0.022480715792738585	117/12/6/4	cosine	average
пытка	0.13116883704552726	9	0.026193753588538284	0.013429833854593594	116/27	cosine	average
рысь	0.7539557382791221	6	0.022910882128653894	0.011670240706261577	82/38	cosine	average
среда	0.49850903908311206	9	0.05156879696152539	0.025214455665542618	52/47/32/13	cosine	average
хвост	0.4469681585135167	3	0.02857114981317899	0.014973790777425798	100/12/8/1	cosine	average
штамп	0.3944420173418537	3	0.04023169147431304	0.020305410385290174	47/45/3/1	cosine	average
