word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.04586059866918663	5	0.3937722801554403	0.23616834683971835	81/38	cosine	average
вид	0.04168922652769637	8	0.20521735351725867	0.15529151653050585	38/36/3	cosine	average
винт	0.05165203077218191	4	0.41518694853122173	0.3864353868573829	67/39/16/1	cosine	average
горн	0.1115424028817191	8	0.3053432317957388	0.20819881399820864	30/20/1	cosine	average
губа	-0.014659247904010296	7	0.41462884233070174	0.2500157004426811	132/3/2	cosine	average
жаба	0.14700014833936165	8	0.3019428064927906	0.1807893940790478	79/27/9/6	cosine	average
клетка	0.10481426609363545	7	0.4366691864506189	0.2912760242671512	96/38/7/4/4/1	cosine	average
крыло	0.06314745401442716	9	0.3120125853165616	0.1995129843197325	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.01685902580888481	5	0.42350275425317296	0.2671162195366931	138/12	cosine	average
курица	-0.011748840574943261	9	0.24687470936215283	0.19024458483675105	62/31	cosine	average
лавка	0.02171707518530224	6	0.34517913829991576	0.19558757689471304	82/67	cosine	average
лайка	0.06964014130001141	6	0.3807574703561622	0.2428718168933549	81/18	cosine	average
лев	0.18883423277138353	3	0.43270870587313903	0.25747478173494015	36/4/2/2	cosine	average
лира	0.10915742711016538	3	0.49861591754427986	0.3182442763939408	33/16	cosine	average
мина	0.08007645695229575	2	0.6303089565180297	0.44525167046632336	51/12/2	cosine	average
мишень	0.04810619292379859	9	0.3673207151290877	0.2324919708672993	88/33	cosine	average
обед	0.014872304577047987	5	0.3543618551041121	0.2383075646084865	62/19/17/2	cosine	average
оклад	0.2480054808676966	3	0.6237593278720263	0.39823703546515965	137/5/4	cosine	average
опушка	0.3261476833514267	4	0.46622971563139953	0.2985646760046092	142/6	cosine	average
полис	-0.0030669835659639898	9	0.3633411914014999	0.25832993800791254	139/3	cosine	average
пост	0.04642255495208959	9	0.3169587916029845	0.19588857691684905	98/32/10/2/2	cosine	average
поток	0.040582662271890405	3	0.5668108535773996	0.3662350481449684	124/12	cosine	average
проказа	0.02994887903424489	6	0.362708981389558	0.2213064948575024	95/51	cosine	average
пропасть	0.03689713283426384	6	0.17969050644860804	0.11561257837914451	92/25/7/3	cosine	average
проспект	0.1327957325975175	2	0.8873005017584533	0.7838872092606648	117/12/6/4	cosine	average
пытка	0.018611352875711435	5	0.36821580019650646	0.21427104052635124	116/27	cosine	average
рысь	0.02782486482337256	9	0.2712093131525209	0.17211055262409655	82/38	cosine	average
среда	0.06788638874572363	9	0.16851765289122353	0.1262639766868569	52/47/32/13	cosine	average
хвост	0.03739297718367252	4	0.4673958883361848	0.2858788631182407	100/12/8/1	cosine	average
штамп	-0.004148215005651796	2	0.4990520279679591	0.32292835407683346	47/45/3/1	cosine	average
