word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.8348684929363458	2	0.1611716757667182	0.08641226460444858	81/38	cosine	average
вид	0.0	1	-1.0	-1.0	38/36/3	cosine	average
винт	0.0	1	-1.0	-1.0	67/39/16/1	cosine	average
горн	-0.013836858006042296	2	0.07902480066840148	0.0423173781414247	30/20/1	cosine	average
губа	0.9951284201983355	2	0.17765766988969284	0.09546510121507698	132/3/2	cosine	average
жаба	0.32182506394145044	5	0.11935995973007528	0.06633962072738872	79/27/9/6	cosine	average
клетка	0.0	1	-1.0	-1.0	96/38/7/4/4/1	cosine	average
крыло	0.0	1	-1.0	-1.0	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.011449081120374367	2	0.15866600982155643	0.08533661996591839	138/12	cosine	average
курица	0.0	1	-1.0	-1.0	62/31	cosine	average
лавка	0.0	1	-1.0	-1.0	82/67	cosine	average
лайка	0.0	1	-1.0	-1.0	81/18	cosine	average
лев	0.0	1	-1.0	-1.0	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.20924996278828395	0.11575241856563322	33/16	cosine	average
мина	0.0	1	-1.0	-1.0	51/12/2	cosine	average
мишень	0.0	1	-1.0	-1.0	88/33	cosine	average
обед	0.0	1	-1.0	-1.0	62/19/17/2	cosine	average
оклад	0.59220608947801	3	0.12424040359475506	0.0666638772780293	137/5/4	cosine	average
опушка	0.0	1	-1.0	-1.0	142/6	cosine	average
полис	0.8478440064507929	3	0.10182138155879526	0.05466922613724275	139/3	cosine	average
пост	0.0	1	-1.0	-1.0	98/32/10/2/2	cosine	average
поток	0.0	1	-1.0	-1.0	124/12	cosine	average
проказа	0.7300254983101355	4	0.11674682692802572	0.06308132620258444	95/51	cosine	average
пропасть	0.0	1	-1.0	-1.0	92/25/7/3	cosine	average
проспект	0.0	1	-1.0	-1.0	117/12/6/4	cosine	average
пытка	0.0	1	-1.0	-1.0	116/27	cosine	average
рысь	0.9010727373090455	4	0.13462319034182268	0.07631372132345564	82/38	cosine	average
среда	0.0	1	-1.0	-1.0	52/47/32/13	cosine	average
хвост	0.0	1	-1.0	-1.0	100/12/8/1	cosine	average
штамп	0.0	1	-1.0	-1.0	47/45/3/1	cosine	average
