word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.8136793274731946	3	0.13668005616370776	0.07341004975292546	81/38	cosine	average
вид	0.6500464015558085	4	0.08218086333828699	0.043808914029979155	38/36/3	cosine	average
винт	0.2847242363909281	3	0.1239639330407701	0.06824926822987247	67/39/16/1	cosine	average
горн	0.5728537997290307	3	0.0915104739760461	0.04926228893847948	30/20/1	cosine	average
губа	0.8980581159443441	3	0.1530069229620666	0.0822466954400444	132/3/2	cosine	average
жаба	0.4767875560429607	2	0.11706003103821465	0.06462493942574996	79/27/9/6	cosine	average
клетка	0.7558639742043202	3	0.16552838289785854	0.08971678017251064	96/38/7/4/4/1	cosine	average
крыло	0.33480345335587464	3	0.10433997061720525	0.057410296108229376	51/19/7/5/4/3/1/1	cosine	average
купюра	0.7967437627202699	3	0.15093150282208576	0.08118796942102761	138/12	cosine	average
курица	-0.019117266000633404	2	0.17468435950891095	0.09613434075606725	62/31	cosine	average
лавка	0.7119382575830114	3	0.1734863780872105	0.09513929753954976	82/67	cosine	average
лайка	0.95252646356216	2	0.13631993944462586	0.07321387409787698	81/18	cosine	average
лев	0.3843006903605216	2	0.17401852469677256	0.09530104666494102	36/4/2/2	cosine	average
лира	0.7298601061263869	3	0.1836100178367143	0.1013528924310484	33/16	cosine	average
мина	0.6401215235011906	2	0.15510088772132388	0.0841704057272055	51/12/2	cosine	average
мишень	0.01612684645615937	2	0.07373018953534291	0.03936858916694739	88/33	cosine	average
обед	0.06138120264309405	2	0.1141646321627033	0.06147055181071957	62/19/17/2	cosine	average
оклад	0.59220608947801	3	0.12424040359475506	0.0666638772780293	137/5/4	cosine	average
опушка	0.7830628437433016	3	0.16187430372726133	0.08838837341703201	142/6	cosine	average
полис	0.8478440064507929	3	0.10182138155879526	0.05466922613724275	139/3	cosine	average
пост	0.8251864713073366	4	0.10951617296700748	0.05949775731675655	98/32/10/2/2	cosine	average
поток	-0.013522981283571135	3	0.11066402053167991	0.05948606556466823	124/12	cosine	average
проказа	0.7300254983101355	4	0.11674682692802572	0.06308132620258444	95/51	cosine	average
пропасть	0.20448100661585933	3	0.09841010870649897	0.05368372344942208	92/25/7/3	cosine	average
проспект	0.16985782915460898	3	0.1498180718710385	0.08284387400017293	117/12/6/4	cosine	average
пытка	0.10536805660785814	3	0.07848518307856707	0.04187888577784144	116/27	cosine	average
рысь	0.8783981358398415	3	0.16926177586365027	0.09481015253732451	82/38	cosine	average
среда	0.48596759657102134	2	0.2562075536765285	0.14639464454385054	52/47/32/13	cosine	average
хвост	0.5988234193948772	3	0.1677645088397719	0.09125172877477172	100/12/8/1	cosine	average
штамп	0.6708259652182562	3	0.10554730577813594	0.05706305952781907	47/45/3/1	cosine	average
