word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.793173374567275	3	0.14434874086615387	0.07629270023982922	81/38	cosine	average
вид	0.6125751751026218	4	0.08141009410164418	0.04368144458011469	38/36/3	cosine	average
винт	0.3100425470441161	3	0.11925191568791263	0.06517541485819839	67/39/16/1	cosine	average
горн	0.21016656916776993	3	0.11325831615564172	0.05956396189445486	30/20/1	cosine	average
губа	0.8980581159443441	3	0.16026606724591194	0.0845022679011933	132/3/2	cosine	average
жаба	0.5196492536744031	2	0.1233292492127762	0.0665479193629898	79/27/9/6	cosine	average
клетка	0.7284073023636249	3	0.17403358734274388	0.09376294988010156	96/38/7/4/4/1	cosine	average
крыло	0.33018229450933306	3	0.10790671025607369	0.05807947573755695	51/19/7/5/4/3/1/1	cosine	average
купюра	0.7967437627202699	3	0.14658241867325647	0.08131447781288624	138/12	cosine	average
курица	-0.019117266000633404	2	0.17254467161897982	0.09785992986252391	62/31	cosine	average
лавка	0.7349711360299626	3	0.17361338510195168	0.09641136553694327	82/67	cosine	average
лайка	0.95252646356216	2	0.1380753405095487	0.07553178285200575	81/18	cosine	average
лев	0.3843006903605216	2	0.18100151487409538	0.0977470607167177	36/4/2/2	cosine	average
лира	0.7298601061263869	3	0.1856590485788926	0.10806453648924	33/16	cosine	average
мина	0.5835700309284858	2	0.15147337606313105	0.08214150108737064	51/12/2	cosine	average
мишень	0.01612684645615937	2	0.07532143221988273	0.03951307447764691	88/33	cosine	average
обед	0.04182376263744463	2	0.14623336495515127	0.11614984278755099	62/19/17/2	cosine	average
оклад	0.59220608947801	3	0.12513249227052176	0.0668191814630186	137/5/4	cosine	average
опушка	0.8450192703168734	3	0.1392635961541477	0.07197974173042442	142/6	cosine	average
полис	0.8478440064507929	3	0.10613531564007753	0.05512299059700094	139/3	cosine	average
пост	0.8251864713073366	4	0.10703673264170366	0.05954541962219658	98/32/10/2/2	cosine	average
поток	-0.09008945469078769	3	0.05968646700291475	0.03036817060599289	124/12	cosine	average
проказа	0.68236093114314	4	0.12656585621745375	0.06813976213144773	95/51	cosine	average
пропасть	0.20448100661585933	3	0.09957361001820751	0.05366751285736416	92/25/7/3	cosine	average
проспект	0.16985782915460898	3	0.15117799259081058	0.08319165017585349	117/12/6/4	cosine	average
пытка	0.10536805660785814	3	0.07738468528651925	0.04232265232232555	116/27	cosine	average
рысь	0.8783981358398415	3	0.17595764462683025	0.11145205363883427	82/38	cosine	average
среда	0.48596759657102134	2	0.25492007282466506	0.14853248019093346	52/47/32/13	cosine	average
хвост	0.5988234193948772	3	0.16846075729641327	0.09196370522150629	100/12/8/1	cosine	average
штамп	0.8236265701398248	3	0.11003438028409679	0.05954761788892282	47/45/3/1	cosine	average
