word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.8348684929363458	2	0.16010182314756655	0.08640602259502103	81/38	cosine	average
вид	0.3021125108661157	8	0.09944350351531454	0.053152966209818076	38/36/3	cosine	average
винт	0.28729589949736556	2	0.16279619307989426	0.0885947310312331	67/39/16/1	cosine	average
горн	0.39754441447307226	5	0.11992301875849894	0.06274877782893998	30/20/1	cosine	average
губа	0.9951284201983355	2	0.1790039077276729	0.09625030231265472	132/3/2	cosine	average
жаба	0.2233047752976062	9	0.15292287255670609	0.08304768973417803	79/27/9/6	cosine	average
клетка	0.7284073023636249	3	0.17403358734274388	0.09376294988010156	96/38/7/4/4/1	cosine	average
крыло	0.3602947158199994	2	0.13479687591406528	0.07400882393071416	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.011449081120374367	2	0.1505352635562752	0.0854703416427261	138/12	cosine	average
курица	-0.019117266000633404	2	0.17254467161897982	0.09785992986252391	62/31	cosine	average
лавка	0.7246210432801286	2	0.1933314696552549	0.10647601321494232	82/67	cosine	average
лайка	0.95252646356216	2	0.1380753405095487	0.07553178285200575	81/18	cosine	average
лев	0.3843006903605216	2	0.18100151487409538	0.0977470607167177	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.20947602300145354	0.11483997970477175	33/16	cosine	average
мина	0.5835700309284858	2	0.15147337606313105	0.08214150108737064	51/12/2	cosine	average
мишень	0.28388484786394835	5	0.10271171333684934	0.05483050727055997	88/33	cosine	average
обед	0.04182376263744463	2	0.14623336495515127	0.11614984278755099	62/19/17/2	cosine	average
оклад	0.5938396281802748	2	0.15549756997172448	0.08279979836063518	137/5/4	cosine	average
опушка	1.0	2	0.2272380180895405	0.11916245908233851	142/6	cosine	average
полис	0.8472395512219258	2	0.1347172260586851	0.07048229444459053	139/3	cosine	average
пост	0.4355768353024727	6	0.12741642187649613	0.06972766303278372	98/32/10/2/2	cosine	average
поток	-0.010544135834322482	4	0.1046670881964163	0.05526970509271782	124/12	cosine	average
проказа	0.7425905097729276	2	0.16159089818057348	0.08759704679727512	95/51	cosine	average
пропасть	0.3689603898579158	5	0.1404777163326082	0.07588117795993585	92/25/7/3	cosine	average
проспект	0.47099840783770636	2	0.18372161893325098	0.09910158232069634	117/12/6/4	cosine	average
пытка	0.10404877261380245	2	0.09415819595347584	0.04968783238509027	116/27	cosine	average
рысь	0.9002198226416843	2	0.20587831841469192	0.1131447675462205	82/38	cosine	average
среда	0.48596759657102134	2	0.25492007282466506	0.14853248019093346	52/47/32/13	cosine	average
хвост	-0.04907606762914791	2	0.17437163523322247	0.0922680667459983	100/12/8/1	cosine	average
штамп	0.7141723093126255	6	0.14183208073274692	0.08352763314896355	47/45/3/1	cosine	average
