word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	-0.06723573625433792	3	0.14330422569365028	0.07658638460637386	31/2/1	cosine	average
время	0.07724425887265135	5	0.1316665847079509	0.07147501710533895	14/11/4/2/2/2	cosine	average
год	0.23132530120481928	4	0.1947045037336855	0.1087101219645084	22/6/5	cosine	average
голова	0.8590158755232604	3	0.09548087551861692	0.05107773349634236	22/11/1/1	cosine	average
город	-0.047310434219053794	3	0.06591775023705507	0.03522761211846172	31/1	cosine	average
государство	-0.06804484017070649	2	0.07668529943403575	0.04047749173984858	33/1/1	cosine	average
дело	0.0606838644761723	4	0.07733968142928146	0.041162655631623433	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	0.15447971433185595	4	0.11723049761085594	0.0634555970183505	25/2/2/2/1	cosine	average
друг	0.41636785718178154	4	0.17273965346114226	0.11876310045910121	26/8/1	cosine	average
жена	-0.04390360295872107	3	0.09279293345667254	0.04971985957417358	34/1	cosine	average
женщина	0.0	3	0.13017931650370115	0.07114123484317565	35	cosine	average
жизнь	0.07434296500653405	4	0.08471951243245242	0.04502702142157562	27/6/1/1	cosine	average
лицо	0.7171605133893202	4	0.09729820779626917	0.05225081246110339	23/11/1	cosine	average
место	0.09668503678658222	3	0.09836029561518861	0.052511020161094865	25/6/3/1	cosine	average
мир	0.36174865621614993	3	0.07266242646932615	0.0389074271245351	25/4/3/1/1	cosine	average
ночь	0.0	3	0.1156096321091644	0.062137825076864016	35	cosine	average
работа	0.20624948105504967	3	0.07226271925739712	0.038598993549964905	20/7/4/3/1	cosine	average
результат	-0.06607897943094675	2	0.10118755339842632	0.05373865265615797	33/2	cosine	average
рука	0.14525966519465822	4	0.08980088775160953	0.048023993724350664	33/1/1	cosine	average
сила	0.14325541496890415	3	0.07585175927947371	0.0398630158800199	15/10/6/2/1/1	cosine	average
слово	-0.01939075288024581	3	0.08177906760983755	0.04335582482764405	19/15/1	cosine	average
сторона	0.4396784381280505	3	0.10267566377276283	0.05520085611333438	25/4/3/2/1	cosine	average
тысяча	0.14403289640226472	2	0.0947283326905347	0.0506599721277787	29/5/1	cosine	average
человек	-0.0263381403941965	6	0.11694957019679081	0.06378512739155223	33/1/1	cosine	average
