word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	-0.06741425202667828	5	0.14708060788419813	0.0783620022822915	31/2/1	cosine	average
время	0.14209190865520158	9	0.15840021721341263	0.08573983754127006	14/11/4/2/2/2	cosine	average
год	0.19624752359864817	6	0.22033493964843887	0.12341170444172066	22/6/5	cosine	average
голова	0.5238328276402074	7	0.10309511527104206	0.055969942311583594	22/11/1/1	cosine	average
город	0.0059594755661501785	9	0.15990337030949925	0.08548975169650333	31/1	cosine	average
государство	-0.01827362346717961	9	0.11382140862988918	0.05956475531359559	33/1/1	cosine	average
дело	0.12184447952360784	7	0.09971851751780818	0.053184810787331366	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	-0.09061058556797748	2	0.15889200399712372	0.08619021968618334	25/2/2/2/1	cosine	average
друг	0.49274274408454555	5	0.1801002451688148	0.12244254384713614	26/8/1	cosine	average
жена	-0.04290822407628129	2	0.13936839228437237	0.07466094068750109	34/1	cosine	average
женщина	0.0	9	0.13603150431914784	0.07360170538223731	35	cosine	average
жизнь	0.03341370406470699	2	0.09390050023887186	0.0497806140359043	27/6/1/1	cosine	average
лицо	0.6353090735738122	3	0.14760677981090312	0.07892100531032784	23/11/1	cosine	average
место	0.15916261338241094	5	0.11070976257462557	0.05870241852023532	25/6/3/1	cosine	average
мир	0.07456941660606276	9	0.10911394540918523	0.05835517533765063	25/4/3/1/1	cosine	average
ночь	0.0	4	0.13320768501119484	0.0718129496898796	35	cosine	average
работа	0.04935805991440799	9	0.11386446773479367	0.06058875662260883	20/7/4/3/1	cosine	average
результат	0.012542541394210547	7	0.12533740327145815	0.06705316174808018	33/2	cosine	average
рука	0.039760021421489516	9	0.13123716332922553	0.07019760833617486	33/1/1	cosine	average
сила	0.1049395401599658	9	0.10371308754711923	0.054810319941658296	15/10/6/2/1/1	cosine	average
слово	0.10466713851534203	7	0.11795971931410157	0.06192996200793129	19/15/1	cosine	average
сторона	0.17863599013968776	9	0.1289056030870051	0.07123981866860714	25/4/3/2/1	cosine	average
тысяча	0.07320458633294206	9	0.1266506944713491	0.06737017514875848	29/5/1	cosine	average
человек	-0.005863345530803963	3	0.12409604022267405	0.06786241329243992	33/1/1	cosine	average
