word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	-0.06723573625433792	3	0.14348025673457307	0.07574580796791867	31/2/1	cosine	average
время	0.14209190865520158	9	0.15920182093956928	0.0857716343263617	14/11/4/2/2/2	cosine	average
год	0.09916005599626691	7	0.2206169031380223	0.1244313887331723	22/6/5	cosine	average
голова	0.041229454916891076	2	0.10322746690853522	0.05410664258729707	22/11/1/1	cosine	average
город	0.008484848484848486	8	0.1447185485019847	0.07740597282068613	31/1	cosine	average
государство	-0.01827362346717961	9	0.11322379262387325	0.05973888134341402	33/1/1	cosine	average
дело	0.08222222222222222	8	0.09499695528138188	0.050593444570160365	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	0.143889677987738	3	0.1600192903386836	0.08533977421902744	25/2/2/2/1	cosine	average
друг	0.49274274408454555	5	0.18048382832844204	0.12295384858036325	26/8/1	cosine	average
жена	-0.04290822407628129	2	0.14142121035621158	0.07700666591989846	34/1	cosine	average
женщина	0.0	9	0.13538485806697081	0.07266157879646157	35	cosine	average
жизнь	0.14310891787099048	5	0.09608524191224385	0.05135402611479784	27/6/1/1	cosine	average
лицо	0.6353090735738122	3	0.15189832480068288	0.08156271446974821	23/11/1	cosine	average
место	0.2185276798809185	5	0.10695265459821192	0.05681377968628021	25/6/3/1	cosine	average
мир	0.05575705853068772	9	0.10315942786381901	0.055279878152645255	25/4/3/1/1	cosine	average
ночь	0.0	2	0.14065989142279114	0.06940279613623035	35	cosine	average
работа	0.06519034585717841	9	0.11594517667007762	0.061651578595466966	20/7/4/3/1	cosine	average
результат	0.012542541394210547	7	0.1266213560794937	0.06738013150045619	33/2	cosine	average
рука	0.06448384160397842	7	0.10992118176513066	0.05761245719661827	33/1/1	cosine	average
сила	0.12907152321962342	9	0.09359091462086333	0.04898368125902179	15/10/6/2/1/1	cosine	average
слово	0.10466713851534203	7	0.11934875151186328	0.06238441772784257	19/15/1	cosine	average
сторона	0.1903429355281207	8	0.11252858088093362	0.06129170251612676	25/4/3/2/1	cosine	average
тысяча	0.12046308309186168	9	0.11041996892978796	0.058885612837718794	29/5/1	cosine	average
человек	0.004580232134492271	9	0.14725620663342462	0.08645476003324289	33/1/1	cosine	average
