word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	0.16837908296273577	2	0.4221449838401799	0.18356001091202215	31/2/1	cosine	average
время	-0.005394470667565745	2	0.35994353904059656	0.08832745914479327	14/11/4/2/2/2	cosine	average
год	-0.040474060822898034	2	0.37736920252603373	0.2142688558656753	22/6/5	cosine	average
голова	0.14159448568633196	3	0.3326006106205886	0.18219327897449059	22/11/1/1	cosine	average
город	-0.041916167664670656	2	0.33213286304516637	0.1739798489859794	31/1	cosine	average
государство	-0.039179675543311906	2	0.28209860311105844	0.0678058864590761	33/1/1	cosine	average
дело	-0.01343050203830904	2	0.3835898764545833	0.21126703398143754	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	-0.05065666041275797	2	0.3873202091617912	0.20621890551179806	25/2/2/2/1	cosine	average
друг	-0.03888633225954901	2	0.5089086824449791	0.303773997131307	26/8/1	cosine	average
жена	-0.029411764705882353	2	0.40966120294450253	0.21428196020215987	34/1	cosine	average
женщина	0.0	2	0.4885888043191516	0.26564719303831696	35	cosine	average
жизнь	0.044538706256627786	4	0.30992576093509466	0.1190100815109525	27/6/1/1	cosine	average
лицо	0.12213740458015267	2	0.29880533186485175	0.195825954308134	23/11/1	cosine	average
место	0.21505363506664837	2	0.305739390413725	0.11004215501264553	25/6/3/1	cosine	average
мир	0.2572610674389739	2	0.3042968684866156	0.15568677413463536	25/4/3/1/1	cosine	average
ночь	0.0	2	0.3972550565385893	0.11620335789783656	35	cosine	average
работа	-0.0650793261567887	2	0.34434358731606785	0.19445328492516376	20/7/4/3/1	cosine	average
результат	-0.038318912237330034	2	0.3377080406192087	0.14822128035417875	33/2	cosine	average
рука	0.03680056306872455	4	0.2265320706919641	0.09592296229787484	33/1/1	cosine	average
сила	-0.021809648699013043	2	0.37924455330655865	0.03250135139131471	15/10/6/2/1/1	cosine	average
слово	-0.014080693203357704	2	0.34633059840959535	0.039650829867646877	19/15/1	cosine	average
сторона	0.10972568578553615	2	0.30824984095313707	0.028875914854079126	25/4/3/2/1	cosine	average
тысяча	0.005671020482036741	2	0.3129932796149401	0.14493517559607225	29/5/1	cosine	average
человек	-0.039179675543311906	2	0.515211741855682	0.2646573546356135	33/1/1	cosine	average
