Unnamed: 0	word	context	positions	gold_sense_id	predict_sense_id	num_senses
0	ball	There was but a small quantity of powder and ball, few tools to build entrenchments with, and a great deficiency of provisions and clothes for the soldiers.	45-49	0		11
1	ball	, and studded here and there with the ripened spheres, like gilded balls.	67-72	0		11
2	ball	such strange things as they know how to make, -- they know everything, -- calico and balls of thread, and a thousand things more strange. '	85-90	0		11
3	ball	He never came near me all day, and toward night I began to dress for the ball.	73-77	1		11
4	ball	The lid of one eye was closed entirely; and that of the other so much so, as just to leave a dull, lead-colored rim of the lower part of the ball visible.	141-145	0		11
5	ball	"To be sure, he admitted, these balls were nothing to the times in spring, when the lumbermen came out of the woods, to these rural inns. """	31-36	1		11
6	ball	No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have	48-52	1		11
7	ball	"said Miss Gilbert; and out came a smart little chap with a smaller ball in his hand, and began walking obediently around the chalk circle next the sun. """	67-71	0		11
8	ball	"The ball is given in honour of her arrival, I hear. """	4-8	1		11
9	ball	i. e. potatoes rolled into balls as big as marbles, and baked brown.	27-32	0		11
10	ball	"I believe a score of balls struck my person, yet they seemed to fall from my cloak harmlessly like hailstones. """	21-26	0		11
11	ball	The a-frighted birds fled swiftly, gathering themselves into a mass so dense, that it resembled a black ball.	104-108	0		11
12	ball	There was a magnificent ball at the Prince M -- ' s the second evening after Norman's adventure with the panel.	24-28	1		11
13	ball	Mr. Millinet reached New York in safety, and solaced himself for his defeat in New England by attention to his pretty person, and his pretty customers, balls, assemblies, and billiards; in process of time made a fashionable failure, a fashionable marriage, and commenced business afresh.	152-157	1		11
14	ball	One object alone, like the black mask at the bridal of Hernani, marred the festivity, and created a discord in the midst of the harmony -- that was uncle Richard, walking up and down the ball room in a meal-colored coat and cowhide boots.	187-191	1		11
15	ball	The loudness of this explosion, and the shock which the ball produced in my brain, sunk me into	56-60	0		11
16	ball	2 With all the news, and more than all, sir; -- 3 Puffs for the last dramatic star; 4 And cuts at Mrs. M.'s last ball, sir!	113-117	1		11
17	ball	Particularly as the weathercock's a silverside, with a gold ball in its mouth!	60-64	0		11
18	ball	Make him pay you a quarter for it, and you take the money and spend the hull on it for the ball: that will make the consarn magnificent.	91-95	1		11
19	ball	He does not heed the panther, which writhes upon the sod, its skull cloven by the fortunate ball.	92-96	5		11
