word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	28	0.1697392574513181	0.09479611594641967	99	cosine	average
bag	0.0005423413651506934	36	0.14559115224971653	0.08047911730670756	99/1	cosine	average
ball	0.026447681809547468	33	0.174158073541904	0.09771884286930788	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.19139105058365757	31	0.1671447465019634	0.09780364973346271	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.015156981444367707	31	0.19516184846353485	0.11084319806294535	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.1256376192113827	0.06883165628140926	100	cosine	average
chef	0.007710728782757859	15	0.1714825256426644	0.09858558770539892	94/1	cosine	average
circle	0.0031664509509671825	30	0.14531497902857587	0.07913281090672279	97/1/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.059210384789135796	35	0.19159881136131418	0.1085956521507156	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.030805733265623976	33	0.1400784283771669	0.07864244890931665	89/6/1/1/1/1	cosine	average
fiction	0.0	25	0.12039245574999696	0.0664365337532898	98	cosine	average
graft	0.0	1	-1.0	-1.0	51/43/1/1/1	cosine	average
grain	0.02624311201258021	31	0.1336205569190598	0.07231847942338258	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.04527601573933183	34	0.13052038754222967	0.07351725810033304	83/10/1/1/1/1/1/1	cosine	average
heel	0.10345384820683445	25	0.16799534597289942	0.09409242756647931	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.0028208379700318314	32	0.1082797251534954	0.06850014486450469	99/1	cosine	average
land	0.036243304635575874	29	0.15256144785115047	0.08407089554463257	79/9/3/1/1	cosine	average
lane	0.0	24	0.12516270860883977	0.06898724070790345	82	cosine	average
maxim	0.0	1	-1.0	-1.0	63/1/1/1	cosine	average
multitude	0.008354907898364888	27	0.11389078003845761	0.0616224193561379	96/2/1/1	cosine	average
ounce	-0.010809858767323844	8	0.24342239851500008	0.13743099457887953	99/1	cosine	average
part	0.017726717984331692	31	0.11543947256389192	0.06202857155832156	77/10/5/2/2/1/1/1/1	cosine	average
pick	0.03582835864377692	28	0.16632526764958955	0.09208103846672268	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	0.03738030167488376	30	0.16360055503182744	0.08962850157692169	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.004577458382607114	36	0.13290316431697996	0.07321205594063226	88/4/2/1/1/1/1/1	cosine	average
player	0.04558696165656247	31	0.11446520319583214	0.0626466554399804	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.2569940752942427	4	0.13266681237747968	0.0730711310025033	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.0	1	-1.0	-1.0	97/3	cosine	average
rag	0.10189823619323193	9	0.16241236027512765	0.0894651627538494	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.005042569487142927	32	0.09149616563746035	0.04943356564027381	85/2/2/1/1/1	cosine	average
record	0.05731438148252541	28	0.12928970376005897	0.07075579921728915	64/16/10/1	cosine	average
relationship	-0.003162470542694952	33	0.1108790846472854	0.05950803248847589	93/7	cosine	average
risk	0.0	36	0.0960732721094495	0.051883865820641084	100	cosine	average
savage	0.013835386417192284	10	0.15283852566947473	0.08470654754867235	96/1	cosine	average
stab	0.0786302561565454	27	0.20527897736671147	0.1172657835460202	48/21/20/4/2/1/1/1	cosine	average
stroke	0.022691421967658398	31	0.16629390966483804	0.09212288802308931	89/7/2/1	cosine	average
thump	0.00795286170761301	17	0.12156884184167244	0.06837196618682519	97/1/1/1	cosine	average
tip	0.07459476216669694	20	0.16163803023414158	0.08909728961934132	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	37	0.11622407209960718	0.06307836422657061	100	cosine	average
twist	0.11078760032176142	32	0.1301109304294141	0.07191848603624512	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
