word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	28	0.15143341001128613	0.08434600895825382	99	cosine	average
bag	-0.0018262231800517574	36	0.1491595493470446	0.08190450553778776	99/1	cosine	average
ball	0.007868456149628516	33	0.15159655383688067	0.08245709650983366	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.14144163763066203	31	0.13458419294853455	0.07592496947050507	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.03147105578685492	31	0.13509705516571605	0.07384984557374945	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.16906056382258772	0.09438279601368382	100	cosine	average
chef	-0.00029226565904601356	15	0.19215477769818912	0.1137172146077746	94/1	cosine	average
circle	0.004490178261311928	30	0.13786714636805944	0.08078264288254315	97/1/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.06736510359600635	35	0.15443581627691066	0.08659176801321078	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.014627902982512785	33	0.12648993452978696	0.06817888693661342	89/6/1/1/1/1	cosine	average
fiction	0.0	25	0.1785751961101452	0.09846033358516869	98	cosine	average
graft	0.0	1	-1.0	-1.0	51/43/1/1/1	cosine	average
grain	0.011639881569528946	31	0.13504478821746452	0.07477667434441411	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.04863474681213235	34	0.14545274185864585	0.08121199698699459	83/10/1/1/1/1/1/1	cosine	average
heel	0.04466462810527212	25	0.1228971331218128	0.06693840066878201	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.0004462638277421625	32	0.1195911161401452	0.07377026092875219	99/1	cosine	average
land	0.018099939741433427	29	0.10654559877655602	0.05593482025645736	79/9/3/1/1	cosine	average
lane	0.0	24	0.1772267347948891	0.09607849557460295	82	cosine	average
maxim	0.0	1	-1.0	-1.0	63/1/1/1	cosine	average
multitude	0.0027705480380711446	27	0.11429636984606438	0.06192259092277529	96/2/1/1	cosine	average
ounce	-0.012702005910834435	8	0.19635011908452296	0.10961787706492744	99/1	cosine	average
part	0.029027508903608376	31	0.1309855527448973	0.07142306278809048	77/10/5/2/2/1/1/1/1	cosine	average
pick	0.013316893685354679	28	0.12827046376607215	0.07029006968630924	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	0.020755132194276233	30	0.1499988425409837	0.08335035788441031	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.015762662825257175	36	0.11378536641120257	0.06129913461600254	88/4/2/1/1/1/1/1	cosine	average
player	0.022959750945074495	31	0.12332401914458012	0.06904795264021776	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.008965272016119474	4	0.09770634069822416	0.05272642904487501	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.0	1	-1.0	-1.0	97/3	cosine	average
rag	0.07508514663103713	9	0.09842878227308041	0.05369997870892919	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.005837478231769692	32	0.12591983854565103	0.0678656177938407	85/2/2/1/1/1	cosine	average
record	0.022327871865421935	28	0.11466867263158625	0.06166418192157069	64/16/10/1	cosine	average
relationship	0.008549458430530768	33	0.09291882259432144	0.04960226874787054	93/7	cosine	average
risk	0.0	36	0.13350744476915788	0.07165205156389383	100	cosine	average
savage	0.005683025281495645	10	0.12086729261617069	0.06497433610875668	96/1	cosine	average
stab	0.05617527373763383	27	0.12534698591753038	0.06767165978101697	48/21/20/4/2/1/1/1	cosine	average
stroke	0.019346172247232014	31	0.17245429908223497	0.09461946492195311	89/7/2/1	cosine	average
thump	0.012467285746160229	17	0.1335494679649987	0.07358664555695398	97/1/1/1	cosine	average
tip	0.04631834193836973	20	0.15178186353269682	0.08538140824281604	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	37	0.13606737090069598	0.07300148970698596	100	cosine	average
twist	0.05024752950179596	32	0.09306975337514024	0.051775782202306296	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
