word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1192234898458025	0.06655854425124158	99	cosine	average
bag	-0.016565157266013476	4	0.07513263253014618	0.04220445462756851	99/1	cosine	average
ball	0.49299381179315743	3	0.12410930055137721	0.06962744126749366	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.5955418577981652	4	0.2673677634540099	0.15610125641539452	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.1556035261663739	3	0.0721734193334663	0.03955405942892499	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.2621713127001391	0.14476061250048675	100	cosine	average
chef	-0.017314512203601976	2	0.21431548468611536	0.11739709622396428	94/1	cosine	average
circle	0.046656171991557416	4	0.12703766318174517	0.06917626417732986	97/1/1	cosine	average
contemplation	0.0	4	0.038395041401460044	0.022069391177109713	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.6279258288102856	5	0.14085929292623992	0.07776385411445706	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.7622962251175406	4	0.1556085954435108	0.08711982478222081	89/6/1/1/1/1	cosine	average
fiction	0.0	3	0.14797643468829572	0.0802108382871856	98	cosine	average
graft	0.6404471774189041	5	0.16674081715633232	0.09129363984086435	51/43/1/1/1	cosine	average
grain	-0.03112909550466009	2	0.15086209436403275	0.08234483161023162	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7658773946699526	3	0.269661927382784	0.15357367838074487	83/10/1/1/1/1/1/1	cosine	average
heel	0.1705997483771173	5	0.13909383304756257	0.07860723729963569	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.01720869184774683	5	0.05948329395136719	0.032216134755435985	99/1	cosine	average
land	0.8324128832134947	2	0.18464966966161322	0.10159063110773517	79/9/3/1/1	cosine	average
lane	0.0	5	0.15116782193274036	0.08265001544408458	82	cosine	average
maxim	0.6260586429125755	5	0.07289359234830176	0.047103998176028644	63/1/1/1	cosine	average
multitude	0.0	1	-1.0	-1.0	96/2/1/1	cosine	average
ounce	-0.014400226998652196	2	0.2546408193684116	0.14463392004731518	99/1	cosine	average
part	-0.1288993279137537	3	0.08376965328237457	0.04485977284057521	77/10/5/2/2/1/1/1/1	cosine	average
pick	-0.05927980113036749	5	0.11769057681472321	0.06560827689065853	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.03012398776619797	3	0.08517900027625055	0.04629479884287408	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.7608531229931955	3	0.19962871295656281	0.11133766367160294	88/4/2/1/1/1/1/1	cosine	average
player	0.5819152515624954	3	0.1343117601601119	0.07316713042108143	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.35557269750061204	5	0.15545447792306682	0.08525212633886928	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.13215105898660112	5	0.14001083050633392	0.07624357329933308	97/3	cosine	average
rag	0.2757802630589434	4	0.14164627058028073	0.07746466910609023	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1815189925523835	4	0.18707975207548827	0.1013290938638555	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.16676129299256923	0.09121789652126903	64/16/10/1	cosine	average
relationship	0.0	0	-1.0	-1.0	93/7	cosine	average
risk	0.0	2	0.144947464987379	0.07800337311324562	100	cosine	average
savage	-0.015507781883327736	3	0.18177916433615493	0.10145390770828774	96/1	cosine	average
stab	-0.03248273135780852	3	0.14956607326314156	0.08558510851503022	48/21/20/4/2/1/1/1	cosine	average
stroke	-0.03193978722890985	2	0.17917149558580253	0.09799837171004123	89/7/2/1	cosine	average
thump	0.3819487828208073	3	0.1981023598172455	0.11072487927410657	97/1/1/1	cosine	average
tip	0.15340934856744415	4	0.15718646911118173	0.08702036256022126	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	3	0.11806750048427794	0.0645857241861985	100	cosine	average
twist	0.0	1	-1.0	-1.0	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
