word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	2	0.19791102039765007	0.11020884748592616	99	cosine	average
bag	0.0018438780107070643	9	0.18602430415166882	0.10378282765171218	99/1	cosine	average
ball	-0.011363318312855104	5	0.13466672636284696	0.07346776667373635	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.20435225095785442	6	0.13734657204723075	0.07506976018563163	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.11933181948122698	7	0.1223541457866713	0.06785051484955208	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	9	0.15511227108006742	0.08710333486347914	100	cosine	average
chef	-0.0012413181616669129	9	0.16278575948734544	0.09865496842278586	94/1	cosine	average
circle	-0.02945869259366968	2	0.19120634400078054	0.10999396586505616	97/1/1	cosine	average
contemplation	0.0	2	0.07811111899237334	0.04225944765098083	100	cosine	average
donkey	0.04963898916967509	2	0.11449304704982127	0.062079215571982115	98/1	cosine	average
edge	0.18596844578717692	2	0.15019809330430225	0.08214843258471247	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.11513943361937666	8	0.1268543347690528	0.06992373062031619	89/6/1/1/1/1	cosine	average
fiction	0.0	5	0.1753886228893305	0.09766905320004189	98	cosine	average
graft	0.23927633532400042	7	0.11358517173139196	0.061694555399812126	51/43/1/1/1	cosine	average
grain	0.0795819087281341	9	0.1458348431105336	0.08231951300686177	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.13591809136723093	9	0.1317232116967228	0.07341039412870284	83/10/1/1/1/1/1/1	cosine	average
heel	0.10302989756687991	6	0.1763024989380519	0.09665503456713398	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.010101010101010102	2	0.18845579637002166	0.10195110864706541	99/1	cosine	average
land	0.049336192472604096	9	0.10188429611669172	0.05522944392803196	79/9/3/1/1	cosine	average
lane	0.0	9	0.12646208133083212	0.06989865991409816	82	cosine	average
maxim	0.03798100949525238	8	0.1531092218320132	0.08467828969943164	63/1/1/1	cosine	average
multitude	0.04456457979610706	2	0.1573756201643616	0.08539628996123513	96/2/1/1	cosine	average
ounce	-0.012683964403572156	3	0.2749428983780064	0.15524037539220803	99/1	cosine	average
part	0.006754987383684189	4	0.1344051911869477	0.07360000238738795	77/10/5/2/2/1/1/1/1	cosine	average
pick	-0.038448820893390856	2	0.16882709585784889	0.09227228742321049	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.024820845122140084	2	0.14308121346472494	0.08052395638762469	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.23100440241317463	2	0.1376510976813875	0.07430645843375518	88/4/2/1/1/1/1/1	cosine	average
player	0.15538155690633454	9	0.13622234636363773	0.07483618222341795	79/7/4/1/1/1/1/1/1	cosine	average
prop	-0.003877969570043256	3	0.10609234993563676	0.056508378392652346	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.0023862572675376727	2	0.15520958027831827	0.08493176551318259	97/3	cosine	average
rag	0.07602554340962053	6	0.11183512381176754	0.0611287879059601	72/4/3/2/2/1/1/1/1	cosine	average
rally	-0.0116607719314406	2	0.1263994184478523	0.06811901154948402	85/2/2/1/1/1	cosine	average
record	0.04216971701015072	9	0.10358661427402141	0.05633355591545889	64/16/10/1	cosine	average
relationship	0.006214218236452756	2	0.1026036086200684	0.05470744344747641	93/7	cosine	average
risk	0.0	9	0.09555755064675918	0.05149986407747014	100	cosine	average
savage	0.004925094877711414	5	0.11699139698380354	0.06352023840305904	96/1	cosine	average
stab	0.030335370391147157	9	0.09326528021124952	0.05039835544801884	48/21/20/4/2/1/1/1	cosine	average
stroke	0.36981269600744227	2	0.1626898044727665	0.08814214778253551	89/7/2/1	cosine	average
thump	0.039168304790261954	8	0.13189445964096108	0.07217602893915252	97/1/1/1	cosine	average
tip	0.2538288380530835	4	0.17720874794316407	0.10031539478603733	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	5	0.11865638248468974	0.06488789615547236	100	cosine	average
twist	0.06524100509271809	5	0.09846755993496349	0.05367622353841824	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
