word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	2	0.20352220498195095	0.10738248041493308	99	cosine	average
bag	-0.010101010101010102	2	0.2054653487094263	0.11132019426698508	99/1	cosine	average
ball	0.15909934344467835	9	0.1392966219786609	0.07884347500399538	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.40345982142857145	9	0.27836293886961333	0.16022972718717307	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.016824585160484393	9	0.10399420270291189	0.05900078801830429	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.26057514641255475	0.14624405789837452	100	cosine	average
chef	-0.017314512203601976	2	0.2184811894136407	0.11913896077624375	94/1	cosine	average
circle	0.6597938144329897	2	0.14385194009683752	0.08313826371089937	97/1/1	cosine	average
contemplation	0.0	2	0.12291649591804461	0.06784178231182247	100	cosine	average
donkey	-0.015894502423474958	2	0.25672667619547385	0.14405608061051872	98/1	cosine	average
edge	0.45584007845488494	2	0.19388476365458296	0.10422885568164961	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.6922742020134548	2	0.22063824184377462	0.12303674984417871	89/6/1/1/1/1	cosine	average
fiction	0.0	2	0.21586478945560894	0.1190929878626154	98	cosine	average
graft	0.7086661262243013	2	0.25313327338304276	0.14013724141896133	51/43/1/1/1	cosine	average
grain	0.49941692821493927	3	0.17392861610754218	0.09481510159363489	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7115045056209696	2	0.3439215876674173	0.1950701533723307	83/10/1/1/1/1/1/1	cosine	average
heel	0.011758403248994619	2	0.25349731515853785	0.13601677479974242	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.010101010101010102	2	0.15915840361324748	0.10257454348970282	99/1	cosine	average
land	0.8324128832134947	2	0.1960168941983817	0.10499994371605617	79/9/3/1/1	cosine	average
lane	0.0	2	0.17826320437467652	0.0963272559812278	82	cosine	average
maxim	0.8281104166077439	2	0.2917138385819821	0.16532705938369172	63/1/1/1	cosine	average
multitude	0.04172357943912158	3	0.15557388033220698	0.08478965919038015	96/2/1/1	cosine	average
ounce	-0.012992382678943435	3	0.3077076915556595	0.17443978249465647	99/1	cosine	average
part	-0.11788439820131795	2	0.11725570247566001	0.05989527627900545	77/10/5/2/2/1/1/1/1	cosine	average
pick	-0.03084364804978491	3	0.13854473445234292	0.07684058727165638	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	0.06995417046755344	9	0.16598321278953895	0.09285683465186163	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.8574027808629111	2	0.21881676795859437	0.1193483746858434	88/4/2/1/1/1/1/1	cosine	average
player	-0.01782711066263034	2	0.138277301916828	0.07329678346420089	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.35073236658508966	5	0.15754720903106575	0.08624189242195207	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.014906438312718047	2	0.20768254997501778	0.11156675457175526	97/3	cosine	average
rag	0.09786130913804278	2	0.2203682696054241	0.11716088375861607	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1406940844451223	3	0.19698262547522863	0.10669446817891802	85/2/2/1/1/1	cosine	average
record	0.3766796460324499	6	0.1736759868011582	0.09498604658467744	64/16/10/1	cosine	average
relationship	0.04718785486570321	3	0.08932875793940609	0.047178611105941896	93/7	cosine	average
risk	0.0	2	0.15719812730689461	0.0829088230555108	100	cosine	average
savage	0.007695995343023953	4	0.21777726582585014	0.12102002215390976	96/1	cosine	average
stab	0.14967863197069428	9	0.1830990360389622	0.10634327161223583	48/21/20/4/2/1/1/1	cosine	average
stroke	0.19802200372603895	6	0.20787997703548877	0.115529610797578	89/7/2/1	cosine	average
thump	0.488511174063582	2	0.254425324545608	0.139888144093769	97/1/1/1	cosine	average
tip	0.15753272894128953	5	0.1839167741049347	0.10215646452485387	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	2	0.1385084361424862	0.07183149299228392	100	cosine	average
twist	0.019582371719572698	2	0.12375799007859552	0.06497907750663941	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
