word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	34	0.1546373859496822	0.08635669247970551	99	cosine	average
bag	0.001321311985076947	32	0.12365365757929693	0.06727415944845841	95/1	cosine	average
ball	0.21968600077797468	32	0.17482064626698463	0.09728953957282219	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1566803351756106	29	0.15054288089798723	0.0842107711998219	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.03065708799204313	30	0.1617866808192244	0.08966867665465074	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.17049680479736787	0.10032881981823098	99	cosine	average
chef	0.356687203533068	7	0.2668252424450515	0.15127997180953462	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.007670823277605255	27	0.14613198588949133	0.08202490584916938	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	0.0	1	-1.0	-1.0	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.012580132178074936	33	0.1510347871760239	0.08351245192013419	88/3/2/2/1/1/1/1/1	cosine	average
face	0.009647178775498644	36	0.10811512593555081	0.05857624843795279	94/3/1/1	cosine	average
fiction	0.013345837541480306	21	0.13999846919033423	0.07591449516266897	94/1/1/1	cosine	average
graft	0.0	1	-1.0	-1.0	96/1	cosine	average
grain	0.11605178597618698	34	0.14801565779156275	0.0816937640786442	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.07365878367314882	32	0.12545049225838092	0.06826746937257056	77/9/6/2/2/2/1	cosine	average
heel	0.01214572602055867	31	0.15361094149836724	0.08490338337919714	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	32	0.15572593293028864	0.08618544887216309	100	cosine	average
land	0.00680943353008525	30	0.182294816108791	0.10163345445088674	90/3/1/1	cosine	average
lane	0.010008560703171932	25	0.16640898322456757	0.09602300551072417	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	0.0	18	0.11756174483988771	0.0631512538914704	99	cosine	average
ounce	0.013042575827223362	13	0.12150088795979005	0.06665467989287904	97/1/1	cosine	average
part	0.010470958459770741	33	0.13955788064463212	0.0758466354812994	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.03416169036271429	31	0.1189764757876346	0.06426829585710044	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.0031933546427463156	29	0.1432942133806868	0.07880978628525702	85/7/3/1	cosine	average
plane	0.01319715583386845	33	0.1496303304126959	0.08237600784790931	64/15/10/4/4/2	cosine	average
player	0.004265330766789612	24	0.11907912354986701	0.06516028299788475	76/6/2/1/1/1	cosine	average
prop	0.04628653074848022	10	0.11785540377584411	0.06362297968439665	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.048478230828921	3	0.17807514366949054	0.10091188286918669	84/7/2/2/1/1/1	cosine	average
rally	-0.017322415471795912	6	0.12486803621323792	0.06826850033981342	30/7/2	cosine	average
record	0.00046647417904565816	30	0.1072806131947497	0.057753868396823456	92/1	cosine	average
relationship	-0.000844569008081859	35	0.08813866472792853	0.04663489892705881	94/4	cosine	average
risk	0.0	34	0.140718962789058	0.0792160250856478	99	cosine	average
savage	0.0	8	0.19144744299302618	0.10726132594235144	99	cosine	average
stab	0.019419409671193582	18	0.13763587864480292	0.0759268870696033	73/13/1/1/1	cosine	average
stroke	0.06592402295793132	27	0.14815694519072953	0.08207984143598673	84/5/2/2/2/1/1/1	cosine	average
thump	0.009163428414993041	11	0.18566853215478685	0.10379166633912532	88/1	cosine	average
tip	0.18890069716653646	17	0.16011837190548517	0.09362386788781313	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	36	0.10621948516318541	0.05634266818142036	99	cosine	average
twist	0.07843480452559651	33	0.18271753631415746	0.11244924141816161	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
