word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.09565780973768515	0.05017215181095529	99	cosine	average
bag	0.0004889239911241491	4	0.11180767941241992	0.06176265512987374	95/1	cosine	average
ball	0.47572854084729865	3	0.1247015291839442	0.06776275351310375	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.10191777547010526	4	0.10945998488800035	0.058416072787988875	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.11951461821289551	3	0.1104929426120737	0.063929618095159	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.18355964229575128	0.09981771855585035	99	cosine	average
chef	0.028538812785388126	2	0.10448935556219119	0.05919137973755139	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.24942110420323704	4	0.18479895386108622	0.10934518026840562	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	0.0031635686442344395	4	0.1278724506377118	0.06951445695014707	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.2279761961578367	5	0.15238318921083002	0.08364996207740334	88/3/2/2/1/1/1/1/1	cosine	average
face	-0.010840646004480956	4	0.11230424793091887	0.06019617244622872	94/3/1/1	cosine	average
fiction	-7.095165745518424e-05	3	0.09600336157601257	0.05155718295147636	94/1/1/1	cosine	average
graft	-0.008805156831472621	5	0.11680855549025206	0.0644330465414643	96/1	cosine	average
grain	0.35497640979555156	2	0.11064246063972767	0.06040938729587175	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.4346595561941807	3	0.12739506526659872	0.07133404288499579	77/9/6/2/2/2/1	cosine	average
heel	0.08143059675247706	5	0.1378874249399192	0.07607710989641665	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	5	0.11723683319057995	0.06311820275170976	100	cosine	average
land	0.7729736935045232	2	0.10432394314883846	0.05031604373255211	90/3/1/1	cosine	average
lane	0.031980994951250605	5	0.14814502070672764	0.08218248880828725	83/1/1/1	cosine	average
maxim	0.0	5	0.0940515560380854	0.048699686407432996	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.6597938144329897	2	0.21537000580361118	0.1155019430566031	97/1/1	cosine	average
part	-0.007334312446657059	3	0.09710189813434923	0.05167098164519675	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.06657069038651876	5	0.09131002680011197	0.04927101537494496	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	0.0022717196947579406	3	0.12324689288878488	0.06640003755458952	85/7/3/1	cosine	average
plane	0.005306761912492897	3	0.08581843493972773	0.04722789956419963	64/15/10/4/4/2	cosine	average
player	0.15697767738468688	3	0.08773150738147403	0.0494968864881947	76/6/2/1/1/1	cosine	average
prop	0.0009205276640170057	5	0.15563296503084356	0.08463898382319562	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	5	0.16788395201303055	0.09765511535167314	99	cosine	average
rag	0.030498429489284596	4	0.1165018678463283	0.06425240744576341	84/7/2/2/1/1/1	cosine	average
rally	-0.03125372778241679	4	0.1509385114676405	0.08457945443907267	30/7/2	cosine	average
record	-0.014258631011774096	4	0.10161479929676029	0.05557918548347405	92/1	cosine	average
relationship	0.0	0	-1.0	-1.0	94/4	cosine	average
risk	0.0	2	0.1317241012689204	0.06816927112780272	99	cosine	average
savage	0.0	3	0.09080039375669482	0.047510193429793374	99	cosine	average
stab	0.0033818646232439335	3	0.14576254216778303	0.07954214313961441	73/13/1/1/1	cosine	average
stroke	0.6681945830207229	2	0.16538095270408826	0.09375154586555733	84/5/2/2/2/1/1/1	cosine	average
thump	0.011256983755278152	3	0.14605810607791958	0.08079357081771012	88/1	cosine	average
tip	0.11911785952052584	4	0.14667767501653778	0.08670224955514153	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	3	0.11559289762552152	0.06307016219854136	99	cosine	average
twist	0.0	1	-1.0	-1.0	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
