word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	2	0.18222426906144318	0.10005249659458995	99	cosine	average
bag	0.03788423616749797	2	0.12303041259954839	0.06757981427058242	95/1	cosine	average
ball	0.24228011761290044	9	0.13550892282723007	0.07414609385103878	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.13304266139547635	8	0.13749768363173284	0.07561759751580334	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.10739511000286558	2	0.15896693685769378	0.08920079047535005	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.17931624175020902	0.09851377081956128	99	cosine	average
chef	0.17946402607937068	9	0.171631867056087	0.09357588597822432	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.2688946173203216	4	0.17995203984519365	0.10563663808044711	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	-0.0024281010880832956	8	0.13345224952003218	0.07219074920834173	98/1	cosine	average
donkey	0.002028914807752007	5	0.10502820644905697	0.056978417250420924	97/1	cosine	average
edge	0.08316159902782348	2	0.14951160395648458	0.08184160186516212	88/3/2/2/1/1/1/1/1	cosine	average
face	0.04872426432899545	6	0.14205900023733276	0.07665634563326075	94/3/1/1	cosine	average
fiction	-0.005210116636649752	9	0.12493181345622792	0.06823036014924405	94/1/1/1	cosine	average
graft	0.004837198216790982	8	0.1262014764074004	0.06958141986760101	96/1	cosine	average
grain	0.18438705601889105	8	0.16002496305085778	0.08761206354079287	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.4346595561941807	3	0.12986603674669908	0.07108690515465474	77/9/6/2/2/2/1	cosine	average
heel	0.003408387991204111	9	0.1724067709184259	0.09491330729081285	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	8	0.11475938686797166	0.06170537388687248	100	cosine	average
land	0.04540078961457811	8	0.13270326365132112	0.07242478426962849	90/3/1/1	cosine	average
lane	0.030934489918249104	7	0.18563706621633597	0.1024980667605716	83/1/1/1	cosine	average
maxim	0.0	2	0.1305232088584399	0.07016777393491122	97	cosine	average
multitude	0.0	8	0.17964638771255467	0.10794426038062581	99	cosine	average
ounce	0.05240482619181955	3	0.28813077419103045	0.16128329622587192	97/1/1	cosine	average
part	-0.006885281763957806	8	0.11004870468796693	0.05997920184402237	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.05848658426288815	4	0.09050718326507534	0.048838753374090764	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.006637386012250605	9	0.13081185476307156	0.07129649384359339	85/7/3/1	cosine	average
plane	0.07277331630602074	8	0.16586509133958255	0.09183585128530987	64/15/10/4/4/2	cosine	average
player	0.07383192350223336	4	0.1287373678736727	0.06990888271227136	76/6/2/1/1/1	cosine	average
prop	-0.008446919950300984	9	0.1596988933003167	0.08673486374282295	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	3	0.1891136053321184	0.10765980801724276	99	cosine	average
rag	0.028976096674079594	8	0.1227861570553951	0.06684740660324513	84/7/2/2/1/1/1	cosine	average
rally	-0.021764930078922662	8	0.1997934038609735	0.10825178486357455	30/7/2	cosine	average
record	-0.0012421215912231333	9	0.14065092041770014	0.07719913599490044	92/1	cosine	average
relationship	0.01552274190939468	9	0.13358248426508987	0.07202561964605828	94/4	cosine	average
risk	0.0	9	0.1282577067334203	0.07036204526455264	99	cosine	average
savage	0.0	6	0.11214714277713737	0.06067955375357792	99	cosine	average
stab	-0.00038865535475028894	3	0.14988062757272386	0.0818773435740429	73/13/1/1/1	cosine	average
stroke	0.08194517654297521	9	0.19551465449438582	0.11143267272542169	84/5/2/2/2/1/1/1	cosine	average
thump	-0.0012058291545961207	7	0.15975924417360207	0.08837696976662983	88/1	cosine	average
tip	0.07263017409134631	2	0.18460403279303259	0.10545284336840498	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	6	0.12735198434308667	0.07005566047779364	99	cosine	average
twist	0.063959967092943	6	0.13403949538441806	0.07366336202367382	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
