word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	28	0.1697392574513181	0.0947961159464196	99	cosine	average
bag	0.0005423413651506	36	0.1455911522497165	0.0804791173067075	99/1	cosine	average
ball	0.0264476818095474	33	0.174158073541904	0.0977188428693078	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.1913910505836575	31	0.1671447465019634	0.0978036497334627	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0151569814443677	31	0.1951618484635348	0.1108431980629453	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.1256376192113827	0.0688316562814092	100	cosine	average
chef	0.0077107287827578	15	0.1714825256426644	0.0985855877053989	94/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.0592103847891357	35	0.1915988113613141	0.1085956521507156	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.0308057332656239	33	0.1400784283771669	0.0786424489093166	89/6/1/1/1/1	cosine	average
fiction	0.0	25	0.1203924557499969	0.0664365337532898	98	cosine	average
graft	0.0	1	-1.0	-1.0	51/43/1/1/1	cosine	average
grain	0.0262431120125802	31	0.1336205569190598	0.0723184794233825	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0452760157393318	34	0.1305203875422296	0.073517258100333	83/10/1/1/1/1/1/1	cosine	average
heel	0.1034538482068344	25	0.1679953459728994	0.0940924275664793	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.0362433046355758	29	0.1525614478511504	0.0840708955446325	79/9/3/1/1	cosine	average
lane	0.0	24	0.1251627086088397	0.0689872407079034	82	cosine	average
maxim	0.0	1	-1.0	-1.0	63/1/1/1	cosine	average
multitude	0.0083549078983648	27	0.1138907800384576	0.0616224193561379	96/2/1/1	cosine	average
ounce	-0.0108098587673238	8	0.243422398515	0.1374309945788795	99/1	cosine	average
part	0.0177267179843316	31	0.1154394725638919	0.0620285715583215	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.0045774583826071	36	0.1329031643169799	0.0732120559406322	88/4/2/1/1/1/1/1	cosine	average
player	0.0455869616565624	31	0.1144652031958321	0.0626466554399804	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.2569940752942427	4	0.1326668123774796	0.0730711310025033	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.0	1	-1.0	-1.0	97/3	cosine	average
rag	0.1018982361932319	9	0.1624123602751276	0.0894651627538494	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.0050425694871429	32	0.0914961656374603	0.0494335656402738	85/2/2/1/1/1	cosine	average
record	0.0573143814825254	28	0.1292897037600589	0.0707557992172891	64/16/10/1	cosine	average
relationship	-0.0031624705426949	33	0.1108790846472854	0.0595080324884758	93/7	cosine	average
risk	0.0	36	0.0960732721094495	0.051883865820641	100	cosine	average
savage	0.0138353864171922	10	0.1528385256694747	0.0847065475486723	96/1	cosine	average
stab	0.0786302561565454	27	0.2052789773667114	0.1172657835460202	48/21/20/4/2/1/1/1	cosine	average
thump	0.007952861707613	17	0.1215688418416724	0.0683719661868251	97/1/1/1	cosine	average
tree	0.0	37	0.1162240720996071	0.0630783642265706	100	cosine	average
twist	0.1107876003217614	32	0.1301109304294141	0.0719184860362451	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
