word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	28	0.170098595811595	0.0949022553258026	99	cosine	average
bag	0.0003599989714315	36	0.1486454852282225	0.0816736492577886	99/1	cosine	average
ball	0.0264476818095474	33	0.1741908881859436	0.0977564839297576	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.1504622941346431	31	0.1797607986622663	0.103445538041622	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0111307610413055	31	0.1918396654131962	0.1097741001875479	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.1203737888986161	0.0660928607817814	100	cosine	average
chef	0.0077107287827578	15	0.1722060434238321	0.0986076149363276	94/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.0592103847891357	35	0.1916940918666634	0.108580108335791	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.0329474630430186	33	0.1409461066967257	0.0787798211794342	89/6/1/1/1/1	cosine	average
fiction	0.0	25	0.119591483585237	0.0661407625788179	98	cosine	average
graft	0.0	1	-1.0	-1.0	51/43/1/1/1	cosine	average
grain	0.0294809023085674	31	0.1331825690241168	0.0717507255309122	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0537579545977389	34	0.1215242419735777	0.0681415066780674	83/10/1/1/1/1/1/1	cosine	average
heel	0.1034538482068344	25	0.1678163081502287	0.0940982171187606	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.0362433046355758	29	0.1525588595104221	0.0841115673293887	79/9/3/1/1	cosine	average
lane	0.0	24	0.1336675314521076	0.0737109372258797	82	cosine	average
maxim	0.0	1	-1.0	-1.0	63/1/1/1	cosine	average
multitude	0.009271588900688	27	0.1058312661639126	0.05749420939416	96/2/1/1	cosine	average
ounce	-0.0108098587673238	8	0.2442553427646493	0.1375728413419233	99/1	cosine	average
part	0.0212591248774177	31	0.116662903467029	0.0626808209801896	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.0093264357085294	36	0.1361816668613988	0.0746013513940314	88/4/2/1/1/1/1/1	cosine	average
player	0.046021487311146	31	0.1114458871454092	0.061445408943803	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.2544937088076692	4	0.1380043129626678	0.0760240066390969	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.0	1	-1.0	-1.0	97/3	cosine	average
rag	0.1067663289051522	9	0.1631778455151309	0.0901817285227454	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.0058955595797908	32	0.0873596191737644	0.047111391133041	85/2/2/1/1/1	cosine	average
record	0.0573143814825254	28	0.1295805354020126	0.070967706443708	64/16/10/1	cosine	average
relationship	-0.0042469227399047	33	0.1088514989559138	0.0585491144773863	93/7	cosine	average
risk	0.0	36	0.0964181940539787	0.0518631436940121	100	cosine	average
savage	0.014633215277925	10	0.1535275537420331	0.0858039049291569	96/1	cosine	average
stab	0.0763543780080993	27	0.2099469668310656	0.1197119065223915	48/21/20/4/2/1/1/1	cosine	average
thump	0.007952861707613	17	0.1221776198725962	0.0681341113157168	97/1/1/1	cosine	average
tree	0.0	37	0.1164659664060811	0.0630615212231174	100	cosine	average
twist	0.13607325400897	32	0.1266399877807553	0.0700730967865456	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
