word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	1.0	1	-1.0	-1.0	99	cosine	average
bag	-0.0101010101010101	2	0.2053986493804471	0.1112419268288095	99/1	cosine	average
ball	0.2674311106376665	10	0.1219412241543142	0.0698961535366379	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.1913910505836575	31	0.1671447465019634	0.0978036497334627	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0064879714158264	15	0.1531411070976129	0.0864878793865161	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	1.0	1	-1.0	-1.0	100	cosine	average
chef	-0.0173145122036019	2	0.2143154846861153	0.1173970962239642	94/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	-0.0158945024234749	2	0.2582316932110153	0.1427579907951184	98/1	cosine	average
edge	0.1748984911920373	11	0.1742828582869249	0.0978983362492487	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.48694218600288	6	0.1504632222763793	0.0851457359533322	89/6/1/1/1/1	cosine	average
fiction	1.0	1	-1.0	-1.0	98	cosine	average
graft	0.6404471774189041	5	0.1667408171563323	0.0912936398408643	51/43/1/1/1	cosine	average
grain	0.0700442568673015	23	0.1265612674502353	0.069082455397787	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.5816229292474469	8	0.1417341606776214	0.0805408193880574	83/10/1/1/1/1/1/1	cosine	average
heel	0.1160498765689172	23	0.1744851176015678	0.0973336082002383	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.2963074436766854	5	0.1374251324994124	0.0761855745082281	79/9/3/1/1	cosine	average
lane	1.0	1	-1.0	-1.0	82	cosine	average
maxim	0.6274541834128041	4	0.1327472741860899	0.0777533455548277	63/1/1/1	cosine	average
multitude	0.0404094821996448	4	0.1451750864741863	0.0791086386454735	96/2/1/1	cosine	average
ounce	-0.0144002269986521	2	0.2546408193684116	0.1446339200473151	99/1	cosine	average
part	0.0266100065984496	9	0.0737056079804092	0.0397795151908132	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.1164972151917526	8	0.0952735080713525	0.0543033144523442	88/4/2/1/1/1/1/1	cosine	average
player	0.248210453112073	9	0.1015659876414572	0.0560118867361618	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.3928922148752839	9	0.1220248648705466	0.0674786548978519	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.014906438312718	2	0.2014217553802411	0.1105704303383181	97/3	cosine	average
rag	0.1018982361932319	9	0.1624123602751276	0.0894651627538494	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1847354928920997	6	0.1544321690619872	0.0837446094129313	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.1667612929925692	0.091217896521269	64/16/10/1	cosine	average
relationship	-0.0296109825171468	2	0.0698206833155504	0.0373152770263833	93/7	cosine	average
risk	1.0	1	-1.0	-1.0	100	cosine	average
savage	-0.0153638358939726	2	0.1977127095144442	0.1099315303595894	96/1	cosine	average
stab	0.1704381525002938	8	0.1748742247230448	0.1009480024034038	48/21/20/4/2/1/1/1	cosine	average
thump	0.1436308957364818	4	0.187972190751079	0.105101376805454	97/1/1/1	cosine	average
tree	1.0	1	-1.0	-1.0	100	cosine	average
twist	0.2431907451915688	12	0.1012701060381553	0.0563650420448088	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
