word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	1.0	1	-1.0	-1.0	99	cosine	average
bag	-0.0101010101010101	2	0.2054653487094263	0.111320194266985	99/1	cosine	average
ball	0.1577254296329897	10	0.1342065890086717	0.0762034886695274	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.1504622941346431	31	0.1797607986622663	0.103445538041622	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0113966754585045	15	0.1435763454829198	0.0814924122416693	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	1.0	1	-1.0	-1.0	100	cosine	average
chef	-0.0173145122036019	2	0.2184811894136407	0.1191389607762437	94/1	cosine	average
contemplation	1.0	1	-1.0	-1.0	100	cosine	average
donkey	-0.0158945024234749	2	0.2567266761954738	0.1440560806105187	98/1	cosine	average
edge	0.1740211259000838	11	0.1598334856765535	0.0900167779742389	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.48694218600288	6	0.1521909217181837	0.0853637998103989	89/6/1/1/1/1	cosine	average
fiction	1.0	1	-1.0	-1.0	98	cosine	average
graft	0.7058541293503539	5	0.1627393994312605	0.0885391662984351	51/43/1/1/1	cosine	average
grain	0.0700442568673015	23	0.1262722573803508	0.0691825344228146	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.6996769484181539	8	0.1370164084743501	0.076787196840776	83/10/1/1/1/1/1/1	cosine	average
heel	0.1752054274885176	23	0.1649308648905265	0.0926012699378023	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.2963074436766854	5	0.1394770588275279	0.0764794150259833	79/9/3/1/1	cosine	average
lane	1.0	1	-1.0	-1.0	82	cosine	average
maxim	0.6274541834128041	4	0.1315193185240521	0.0757064936976526	63/1/1/1	cosine	average
multitude	0.0366159461485113	4	0.1506352348484669	0.0807976140851952	96/2/1/1	cosine	average
ounce	-0.0144002269986521	2	0.2562598699593071	0.144667399060625	99/1	cosine	average
part	-0.0304073785457006	9	0.0762612431623814	0.0420900761926928	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.1653345659715522	8	0.0853639354929592	0.0467833074514561	88/4/2/1/1/1/1/1	cosine	average
player	0.2065859109477849	9	0.1042769857127118	0.0573059543430439	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.4694471914019626	9	0.1304917066199504	0.0715864013063066	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.014906438312718	2	0.2076825499750177	0.1115667545717552	97/3	cosine	average
rag	0.1067663289051522	9	0.1631778455151309	0.0901817285227454	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1847354928920997	6	0.1617900911419269	0.0852269592854554	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.1678193793991526	0.0913374949733246	64/16/10/1	cosine	average
relationship	-0.0296109825171468	2	0.0713557968032509	0.0374179640862376	93/7	cosine	average
risk	1.0	1	-1.0	-1.0	100	cosine	average
savage	-0.0153638358939726	2	0.1964303545615532	0.1111906628953148	96/1	cosine	average
stab	0.1876880139037326	8	0.1762310216573067	0.1024046022237678	48/21/20/4/2/1/1/1	cosine	average
thump	0.1436308957364818	4	0.1946904811612646	0.1087439185957592	97/1/1/1	cosine	average
tree	1.0	1	-1.0	-1.0	100	cosine	average
twist	0.2691830815193299	12	0.0976267939943972	0.0541058314706631	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
