word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1192234898458025	0.0665585442512415	99	cosine	average
bag	-0.0165651572660134	4	0.0751326325301461	0.0422044546275685	99/1	cosine	average
ball	0.4929938117931574	3	0.1241093005513772	0.0696274412674936	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.5955418577981652	4	0.2673677634540099	0.1561012564153945	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.1556035261663739	3	0.0721734193334663	0.0395540594289249	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.2621713127001391	0.1447606125004867	100	cosine	average
chef	-0.0173145122036019	2	0.2143154846861153	0.1173970962239642	94/1	cosine	average
contemplation	0.0	4	0.03839504140146	0.0220693911771097	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.6279258288102856	5	0.1408592929262399	0.077763854114457	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.7622962251175406	4	0.1556085954435108	0.0871198247822208	89/6/1/1/1/1	cosine	average
fiction	0.0	3	0.1479764346882957	0.0802108382871856	98	cosine	average
graft	0.6404471774189041	5	0.1667408171563323	0.0912936398408643	51/43/1/1/1	cosine	average
grain	-0.03112909550466	2	0.1508620943640327	0.0823448316102316	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7658773946699526	3	0.269661927382784	0.1535736783807448	83/10/1/1/1/1/1/1	cosine	average
heel	0.1705997483771173	5	0.1390938330475625	0.0786072372996356	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.8324128832134947	2	0.1846496696616132	0.1015906311077351	79/9/3/1/1	cosine	average
lane	0.0	5	0.1511678219327403	0.0826500154440845	82	cosine	average
maxim	0.6260586429125755	5	0.0728935923483017	0.0471039981760286	63/1/1/1	cosine	average
multitude	0.0	1	-1.0	-1.0	96/2/1/1	cosine	average
ounce	-0.0144002269986521	2	0.2546408193684116	0.1446339200473151	99/1	cosine	average
part	-0.1288993279137537	3	0.0837696532823745	0.0448597728405752	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.7608531229931955	3	0.1996287129565628	0.1113376636716029	88/4/2/1/1/1/1/1	cosine	average
player	0.5819152515624954	3	0.1343117601601119	0.0731671304210814	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.355572697500612	5	0.1554544779230668	0.0852521263388692	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.1321510589866011	5	0.1400108305063339	0.076243573299333	97/3	cosine	average
rag	0.2757802630589434	4	0.1416462705802807	0.0774646691060902	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1815189925523835	4	0.1870797520754882	0.1013290938638555	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.1667612929925692	0.091217896521269	64/16/10/1	cosine	average
relationship	0.0	0	-1.0	-1.0	93/7	cosine	average
risk	0.0	2	0.144947464987379	0.0780033731132456	100	cosine	average
savage	-0.0155077818833277	3	0.1817791643361549	0.1014539077082877	96/1	cosine	average
stab	-0.0324827313578085	3	0.1495660732631415	0.0855851085150302	48/21/20/4/2/1/1/1	cosine	average
thump	0.3819487828208073	3	0.1981023598172455	0.1107248792741065	97/1/1/1	cosine	average
tree	0.0	3	0.1180675004842779	0.0645857241861985	100	cosine	average
twist	0.0	1	-1.0	-1.0	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
