word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1247025129248114	0.0670571851644933	99	cosine	average
bag	-0.017108479037413	4	0.0733457715180885	0.0398304069309718	99/1	cosine	average
ball	0.4929938117931574	3	0.121594210235153	0.0696704501945777	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.5955418577981652	4	0.2714104483938706	0.1570837604799994	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.0864891123605564	3	0.0618422514683398	0.0325296673540455	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.2605751464125547	0.1462440578983745	100	cosine	average
chef	-0.0173145122036019	2	0.2184811894136407	0.1191389607762437	94/1	cosine	average
contemplation	0.0	4	0.042526316550085	0.0255380088723713	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.5196020497058845	5	0.1432057868637093	0.0760824947072571	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.7622962251175406	4	0.1570559987222519	0.0873107707515486	89/6/1/1/1/1	cosine	average
fiction	0.0	3	0.1475044030095643	0.0800783683893124	98	cosine	average
graft	0.7058541293503539	5	0.1627393994312605	0.0885391662984351	51/43/1/1/1	cosine	average
grain	-0.03112909550466	2	0.1502881653341565	0.0824281640311055	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.6104833140749997	3	0.3250120770138883	0.1827737825774842	83/10/1/1/1/1/1/1	cosine	average
heel	0.1705997483771173	5	0.1406771072287147	0.0789347767784607	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.8324128832134947	2	0.1960168941983817	0.1049999437160561	79/9/3/1/1	cosine	average
lane	0.0	5	0.1481956085623697	0.0812968618775004	82	cosine	average
maxim	0.6260586429125755	5	0.0714954454770139	0.0450331767045423	63/1/1/1	cosine	average
multitude	0.0	1	-1.0	-1.0	96/2/1/1	cosine	average
ounce	-0.0144002269986521	2	0.2562598699593071	0.144667399060625	99/1	cosine	average
part	-0.1255580740556166	3	0.0855646093367723	0.0486777050397562	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.5806689269699074	3	0.1660589033479939	0.0896637276239451	88/4/2/1/1/1/1/1	cosine	average
player	0.5448935016198309	3	0.1311624265398316	0.0714383745552058	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.3507323665850896	5	0.1575472090310657	0.086241892421952	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.1289283261159254	5	0.1469363156113499	0.0794043943366404	97/3	cosine	average
rag	0.2757802630589434	4	0.1402077089552807	0.0826754742304118	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1998709864990097	4	0.1941411080928756	0.1045793565309541	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.1678193793991526	0.0913374949733246	64/16/10/1	cosine	average
relationship	0.0	0	-1.0	-1.0	93/7	cosine	average
risk	0.0	2	0.1571981273068946	0.0829088230555108	100	cosine	average
savage	-0.0155077818833277	3	0.1799601083066525	0.1024933198335712	96/1	cosine	average
stab	-0.0324827313578085	3	0.1473812600430118	0.0859180980961103	48/21/20/4/2/1/1/1	cosine	average
thump	0.3819487828208073	3	0.2061606344350301	0.1149937201455615	97/1/1/1	cosine	average
tree	0.0	3	0.1257293305473862	0.0663501478701466	100	cosine	average
twist	0.0	1	-1.0	-1.0	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
