word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	2	0.2035222049819509	0.107382480414933	99	cosine	average
bag	-0.0101010101010101	2	0.2054653487094263	0.111320194266985	99/1	cosine	average
ball	0.1590993434446783	9	0.1392966219786609	0.0788434750039953	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.4034598214285714	9	0.2783629388696133	0.160229727187173	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.0168245851604843	9	0.1039942027029118	0.0590007880183042	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.2605751464125547	0.1462440578983745	100	cosine	average
chef	-0.0173145122036019	2	0.2184811894136407	0.1191389607762437	94/1	cosine	average
contemplation	0.0	2	0.1229164959180446	0.0678417823118224	100	cosine	average
donkey	-0.0158945024234749	2	0.2567266761954738	0.1440560806105187	98/1	cosine	average
edge	0.4558400784548849	2	0.1938847636545829	0.1042288556816496	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.6922742020134548	2	0.2206382418437746	0.1230367498441787	89/6/1/1/1/1	cosine	average
fiction	0.0	2	0.2158647894556089	0.1190929878626154	98	cosine	average
graft	0.7086661262243013	2	0.2531332733830427	0.1401372414189613	51/43/1/1/1	cosine	average
grain	0.4994169282149392	3	0.1739286161075421	0.0948151015936348	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7115045056209696	2	0.3439215876674173	0.1950701533723307	83/10/1/1/1/1/1/1	cosine	average
heel	0.0117584032489946	2	0.2534973151585378	0.1360167747997424	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.8324128832134947	2	0.1960168941983817	0.1049999437160561	79/9/3/1/1	cosine	average
lane	0.0	2	0.1782632043746765	0.0963272559812278	82	cosine	average
maxim	0.8281104166077439	2	0.2917138385819821	0.1653270593836917	63/1/1/1	cosine	average
multitude	0.0417235794391215	3	0.1555738803322069	0.0847896591903801	96/2/1/1	cosine	average
ounce	-0.0129923826789434	3	0.3077076915556595	0.1744397824946564	99/1	cosine	average
part	-0.1178843982013179	2	0.11725570247566	0.0598952762790054	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.8574027808629111	2	0.2188167679585943	0.1193483746858434	88/4/2/1/1/1/1/1	cosine	average
player	-0.0178271106626303	2	0.138277301916828	0.0732967834642008	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.3507323665850896	5	0.1575472090310657	0.086241892421952	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.014906438312718	2	0.2076825499750177	0.1115667545717552	97/3	cosine	average
rag	0.0978613091380427	2	0.2203682696054241	0.117160883758616	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1406940844451223	3	0.1969826254752286	0.106694468178918	85/2/2/1/1/1	cosine	average
record	0.3766796460324499	6	0.1736759868011582	0.0949860465846774	64/16/10/1	cosine	average
relationship	0.0471878548657032	3	0.089328757939406	0.0471786111059418	93/7	cosine	average
risk	0.0	2	0.1571981273068946	0.0829088230555108	100	cosine	average
savage	0.0076959953430239	4	0.2177772658258501	0.1210200221539097	96/1	cosine	average
stab	0.1496786319706942	9	0.1830990360389622	0.1063432716122358	48/21/20/4/2/1/1/1	cosine	average
thump	0.488511174063582	2	0.254425324545608	0.139888144093769	97/1/1/1	cosine	average
tree	0.0	2	0.1385084361424862	0.0718314929922839	100	cosine	average
twist	0.0195823717195726	2	0.1237579900785955	0.0649790775066394	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
