word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	34	0.1495115769733098	0.0833776513908356	99	cosine	average
bag	0.0013213119850769	32	0.1233856024789298	0.0673084252408585	95/1	cosine	average
ball	0.2044882439093422	32	0.1406776712511904	0.0782494456430733	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1566803351756106	29	0.1510260452595418	0.0842416198346512	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0306570879920431	30	0.162331318028203	0.0897825032484025	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.1688188806859132	0.0994984697103902	99	cosine	average
chef	0.356687203533068	7	0.2666802956204758	0.1514923589885108	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	0.0	1	-1.0	-1.0	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.0113725940390268	33	0.1476784724928228	0.0819179742866295	88/3/2/2/1/1/1/1/1	cosine	average
face	0.0095984312621976	36	0.1098043123958564	0.0595239831184203	94/3/1/1	cosine	average
fiction	0.0133458375414803	21	0.139881028592902	0.0759296253604263	94/1/1/1	cosine	average
graft	0.0	1	-1.0	-1.0	96/1	cosine	average
grain	0.1160517859761869	34	0.1475379752033486	0.0817389173300248	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0736587836731488	32	0.1249924304768616	0.0682413125935909	77/9/6/2/2/2/1	cosine	average
heel	0.0123191183567984	31	0.1523021049448068	0.0844732315770516	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.0068094335300852	30	0.178980782096373	0.0998455213201219	90/3/1/1	cosine	average
lane	0.010385062116247	25	0.166217036368714	0.095997847125429	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	0.0	18	0.1140524181509967	0.060745886616111	99	cosine	average
ounce	0.0130425758272233	13	0.1206968772047729	0.0666637602606777	97/1/1	cosine	average
part	0.0097539084296691	33	0.1410961837809273	0.0767987471625918	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.0131971558338684	33	0.150280644387355	0.0824215033391575	64/15/10/4/4/2	cosine	average
player	0.0042653307667896	24	0.1192811647035177	0.0650850161763652	76/6/2/1/1/1	cosine	average
prop	0.0567205625445382	10	0.1189324365518391	0.0645690350071952	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.048478230828921	3	0.1798341168390421	0.1002525668435209	84/7/2/2/1/1/1	cosine	average
rally	-0.063155936976911	6	0.1515015751943465	0.0824848364895601	30/7/2	cosine	average
record	-0.0014450750606367	30	0.1039120013450101	0.0561912139077701	92/1	cosine	average
relationship	-0.0008445690080818	35	0.0882150591136108	0.0466227454011755	94/4	cosine	average
risk	0.0	34	0.1370332592099732	0.0774881184707123	99	cosine	average
savage	0.0	8	0.1931285554870418	0.1077333343949799	99	cosine	average
stab	0.0313563980706483	18	0.1409864429560051	0.0773333942096164	73/13/1/1/1	cosine	average
thump	0.0085765318363756	11	0.1843205266878706	0.1026191095208444	88/1	cosine	average
tree	0.0	36	0.1048847948803409	0.056166090737162	99	cosine	average
twist	0.0784348045255965	33	0.1834226742787951	0.1127652002388534	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
