word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	34	0.1546373859496822	0.0863566924797055	99	cosine	average
bag	0.0013213119850769	32	0.1236536575792969	0.0672741594484584	95/1	cosine	average
ball	0.2196860007779746	32	0.1748206462669846	0.0972895395728221	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1566803351756106	29	0.1505428808979872	0.0842107711998219	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0306570879920431	30	0.1617866808192244	0.0896686766546507	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.1704968047973678	0.1003288198182309	99	cosine	average
chef	0.356687203533068	7	0.2668252424450515	0.1512799718095346	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	0.0	1	-1.0	-1.0	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.0125801321780749	33	0.1510347871760239	0.0835124519201341	88/3/2/2/1/1/1/1/1	cosine	average
face	0.0096471787754986	36	0.1081151259355508	0.0585762484379527	94/3/1/1	cosine	average
fiction	0.0133458375414803	21	0.1399984691903342	0.0759144951626689	94/1/1/1	cosine	average
graft	0.0	1	-1.0	-1.0	96/1	cosine	average
grain	0.1160517859761869	34	0.1480156577915627	0.0816937640786442	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0736587836731488	32	0.1254504922583809	0.0682674693725705	77/9/6/2/2/2/1	cosine	average
heel	0.0121457260205586	31	0.1536109414983672	0.0849033833791971	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.0068094335300852	30	0.182294816108791	0.1016334544508867	90/3/1/1	cosine	average
lane	0.0100085607031719	25	0.1664089832245675	0.0960230055107241	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	0.0	18	0.1175617448398877	0.0631512538914704	99	cosine	average
ounce	0.0130425758272233	13	0.12150088795979	0.066654679892879	97/1/1	cosine	average
part	0.0104709584597707	33	0.1395578806446321	0.0758466354812994	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.0131971558338684	33	0.1496303304126959	0.0823760078479093	64/15/10/4/4/2	cosine	average
player	0.0042653307667896	24	0.119079123549867	0.0651602829978847	76/6/2/1/1/1	cosine	average
prop	0.0462865307484802	10	0.1178554037758441	0.0636229796843966	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.048478230828921	3	0.1780751436694905	0.1009118828691866	84/7/2/2/1/1/1	cosine	average
rally	-0.0173224154717959	6	0.1248680362132379	0.0682685003398134	30/7/2	cosine	average
record	0.0004664741790456	30	0.1072806131947497	0.0577538683968234	92/1	cosine	average
relationship	-0.0008445690080818	35	0.0881386647279285	0.0466348989270588	94/4	cosine	average
risk	0.0	34	0.140718962789058	0.0792160250856478	99	cosine	average
savage	0.0	8	0.1914474429930261	0.1072613259423514	99	cosine	average
stab	0.0194194096711935	18	0.1376358786448029	0.0759268870696033	73/13/1/1/1	cosine	average
thump	0.009163428414993	11	0.1856685321547868	0.1037916663391253	88/1	cosine	average
tree	0.0	36	0.1062194851631854	0.0563426681814203	99	cosine	average
twist	0.0784348045255965	33	0.1827175363141574	0.1124492414181616	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
