word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	1.0	1	-1.0	-1.0	99	cosine	average
bag	-0.0168693605335425	2	0.1316341891097539	0.0704586884299937	95/1	cosine	average
ball	0.3857313208750473	11	0.1551989711635175	0.0875380905525074	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1503253210165748	47	0.1398845299389734	0.0772316519139047	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0625325927776245	10	0.1790916463527421	0.1001323029867649	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	1.0	1	-1.0	-1.0	99	cosine	average
chef	0.3528722157092614	10	0.2445369634468534	0.1375084796885113	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.0163747424197821	2	0.1137898071588156	0.060501295244996	98/1	cosine	average
donkey	-0.0136459316251723	2	0.2133982570834316	0.1167822840307273	97/1	cosine	average
edge	0.1115490011287585	9	0.1196646690859907	0.0664880615779422	88/3/2/2/1/1/1/1/1	cosine	average
face	0.357528145832757	4	0.1538620103232183	0.0834943150185556	94/3/1/1	cosine	average
fiction	0.0044356287092047	4	0.1408907280970362	0.0771344485515366	94/1/1/1	cosine	average
graft	-0.0104166666666666	2	0.1838841627436347	0.0994687355423824	96/1	cosine	average
grain	0.5772179105353501	14	0.1587081599209162	0.0890798626214418	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7000757673546341	7	0.1674452456319072	0.0922933352922102	77/9/6/2/2/2/1	cosine	average
heel	0.015780683792615	10	0.1671792215936215	0.0936413610103794	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.1388345469262372	4	0.1778084061983134	0.0995178696562831	90/3/1/1	cosine	average
lane	0.0218271113185372	4	0.1897394791229464	0.1074062800263109	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.0545048726815466	3	0.2755642224754787	0.1561739276251589	97/1/1	cosine	average
part	0.010570471380392	12	0.1409747542209974	0.0775479908910408	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.1900522010027154	6	0.1532778855996034	0.0837184625797665	64/15/10/4/4/2	cosine	average
player	-0.049663887524551	6	0.128703409181014	0.0700112708703297	76/6/2/1/1/1	cosine	average
prop	0.0542077959280693	9	0.1165668346706392	0.063224040350765	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.1073608292463042	7	0.1378693266033218	0.0781786757545576	84/7/2/2/1/1/1	cosine	average
rally	-0.059528219413534	3	0.1548601892549719	0.0836902280196523	30/7/2	cosine	average
record	-0.0160191493279322	2	0.1256618559093448	0.067663232439334	92/1	cosine	average
relationship	-0.0160535117056856	2	0.1343615821155295	0.0716941967309262	94/4	cosine	average
risk	1.0	1	-1.0	-1.0	99	cosine	average
savage	1.0	1	-1.0	-1.0	99	cosine	average
stab	-0.1138440048323769	5	0.1419609838698511	0.0785291106966084	73/13/1/1/1	cosine	average
thump	-0.0113636363636363	2	0.2620433603681584	0.1467684085742121	88/1	cosine	average
tree	1.0	1	-1.0	-1.0	99	cosine	average
twist	0.1895270019543329	15	0.1304924613718228	0.075754487630703	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
