word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	1.0	1	-1.0	-1.0	99	cosine	average
bag	-0.0168693605335425	2	0.1355122023750668	0.0711162685710615	95/1	cosine	average
ball	0.3857313208750473	11	0.1551921430628688	0.0877212619251857	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1503253210165748	47	0.1396253136764744	0.0771040448376443	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0756920790622754	10	0.1649499459508985	0.0923185022365587	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	1.0	1	-1.0	-1.0	99	cosine	average
chef	0.3528722157092614	10	0.2454059139163726	0.1376392672673589	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.0163747424197821	2	0.1118015243966259	0.0608835513440994	98/1	cosine	average
donkey	-0.0136459316251723	2	0.2143436020324096	0.1173121364764808	97/1	cosine	average
edge	0.0916054780187956	9	0.1015482157913104	0.0569047858715638	88/3/2/2/1/1/1/1/1	cosine	average
face	0.3348973111333808	4	0.148839221278795	0.0810724738572152	94/3/1/1	cosine	average
fiction	0.0044356287092047	4	0.1411536382459329	0.0773375848133353	94/1/1/1	cosine	average
graft	-0.0104166666666666	2	0.183367127382153	0.0992595301852671	96/1	cosine	average
grain	0.5731679150031346	14	0.14882397146889	0.0837781632071114	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7000757673546341	7	0.1683431380250569	0.0926476961412873	77/9/6/2/2/2/1	cosine	average
heel	0.015780683792615	10	0.167445560922266	0.0936150401657833	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.1906566862861057	4	0.1687453953990876	0.0932970231772368	90/3/1/1	cosine	average
lane	0.035352281680136	4	0.2567876870788414	0.147224878579161	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.0545048726815466	3	0.2775779652831052	0.1561772741933602	97/1/1	cosine	average
part	0.0273193977968911	12	0.1519042198697171	0.0827951691975889	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.1900522010027154	6	0.1546397574193081	0.0840597121381086	64/15/10/4/4/2	cosine	average
player	-0.0558428259060402	6	0.1263334305617497	0.0692025034807691	76/6/2/1/1/1	cosine	average
prop	0.0542077959280693	9	0.1176040907473702	0.0637985952417619	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.2181157584579751	7	0.1103041060573579	0.062701660232334	84/7/2/2/1/1/1	cosine	average
rally	-0.059528219413534	3	0.1562855191594884	0.0868515494629646	30/7/2	cosine	average
record	-0.0160191493279322	2	0.1363248806527283	0.0716171920739136	92/1	cosine	average
relationship	-0.0160535117056856	2	0.1393480176038684	0.0721212978918234	94/4	cosine	average
risk	1.0	1	-1.0	-1.0	99	cosine	average
savage	1.0	1	-1.0	-1.0	99	cosine	average
stab	-0.1090201085221832	5	0.1440033685883966	0.080787022282537	73/13/1/1/1	cosine	average
thump	-0.0113636363636363	2	0.2633850017130074	0.1615596710617885	88/1	cosine	average
tree	1.0	1	-1.0	-1.0	99	cosine	average
twist	0.1843366161036953	15	0.1357329828979545	0.0794240880348289	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
