word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1477216090022004	0.0808546085435951	99	cosine	average
bag	-0.0178656629380268	4	0.0433633821994885	0.0242948159401506	95/1	cosine	average
ball	0.6144800516574646	3	0.2813559982974417	0.1588423472288983	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1037978902353451	4	0.1505482538115458	0.0849466207916238	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.0377336407059297	3	0.1086854782049446	0.0590984567546468	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.1642621439499532	0.0895275705362734	99	cosine	average
chef	0.0143652651117746	2	0.1975546984381718	0.110093558795731	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.0146736124739086	4	0.0754490265523414	0.0406830048489417	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.0930501629628194	5	0.1433156537694478	0.0790443573793075	88/3/2/2/1/1/1/1/1	cosine	average
face	0.357528145832757	4	0.1538620103232183	0.0834943150185556	94/3/1/1	cosine	average
fiction	-0.0356762882054833	3	0.1449792440872913	0.0800360683252167	94/1/1/1	cosine	average
graft	0.1994412041150038	5	0.1014216856335284	0.0561212705306788	96/1	cosine	average
grain	0.5315218512838942	2	0.2833662563305829	0.1596234807745516	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0597982459072888	3	0.1879938623506173	0.1041065406204812	77/9/6/2/2/2/1	cosine	average
heel	0.1077716569453445	5	0.109811858803763	0.0623606158015089	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.6880984489954757	2	0.2081944434373131	0.1151405656916204	90/3/1/1	cosine	average
lane	0.0303381109470588	5	0.2077674436292526	0.1208793576008751	83/1/1/1	cosine	average
maxim	0.0	5	0.0891830011973318	0.0480666995153081	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.0050213431234138	2	0.3234895165079772	0.1836534158063836	97/1/1	cosine	average
part	0.1198853229216773	3	0.080907228148657	0.0443915498430053	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.127636360704054	3	0.1725230200987435	0.0942582784232862	64/15/10/4/4/2	cosine	average
player	0.0505283539749679	3	0.1539913968212875	0.083995737166209	76/6/2/1/1/1	cosine	average
prop	0.0247233761546789	5	0.115732318292053	0.0623268490593638	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	5	0.2087242562650795	0.1226311347813572	99	cosine	average
rag	0.0820965578516196	4	0.1406281671317628	0.0794000463120026	84/7/2/2/1/1/1	cosine	average
rally	-0.0851453306820384	4	0.1355240342227656	0.0735159813434144	30/7/2	cosine	average
record	-0.0142430161681297	4	0.1017492071351662	0.0551435557322125	92/1	cosine	average
relationship	0.0	0	-1.0	-1.0	94/4	cosine	average
risk	0.0	2	0.2260685532253268	0.1254375609072075	99	cosine	average
savage	0.0	3	0.2846045228852423	0.1623008467922715	99	cosine	average
stab	-0.1126508111039146	3	0.1688080611094857	0.0931228975216515	73/13/1/1/1	cosine	average
thump	-0.0151495133659224	3	0.143962044629062	0.0800966070886296	88/1	cosine	average
tree	0.0	3	0.1007233860510481	0.0544521361310342	99	cosine	average
twist	0.0	1	-1.0	-1.0	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
