word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1475094268651189	0.0809595822093547	99	cosine	average
bag	-0.0178656629380268	4	0.0471117557355688	0.0245363960238631	95/1	cosine	average
ball	0.6144800516574646	3	0.2823045233229287	0.1594941471507548	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1032985537297906	4	0.1538311666708109	0.0857319490178862	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.0377336407059297	3	0.1086242652350777	0.0595682227106024	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.1651030887195124	0.089359930157775	99	cosine	average
chef	0.0143652651117746	2	0.1952312415838066	0.1130875408006882	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.010503609920982	4	0.0784619881639136	0.0423989800610924	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.0373728477478517	5	0.1397842744206332	0.0758639032574844	88/3/2/2/1/1/1/1/1	cosine	average
face	0.3348973111333808	4	0.148839221278795	0.0810724738572152	94/3/1/1	cosine	average
fiction	-0.0356762882054833	3	0.1424486835719055	0.0803352899622175	94/1/1/1	cosine	average
graft	0.1109503135552339	5	0.1260461239325614	0.0681248039836864	96/1	cosine	average
grain	0.5315218512838942	2	0.2839487873499984	0.160034373662916	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0597982459072888	3	0.1968987003110329	0.1056140731706615	77/9/6/2/2/2/1	cosine	average
heel	0.1077716569453445	5	0.1103175484095699	0.0623056039789525	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.6880984489954757	2	0.2221738843886803	0.1189730210630851	90/3/1/1	cosine	average
lane	0.1330058376692045	5	0.2210306753767292	0.1268762636022515	83/1/1/1	cosine	average
maxim	0.0	5	0.088794981043288	0.0475543016337961	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.0050213431234138	2	0.3236746698154762	0.1835643710714888	97/1/1	cosine	average
part	0.1020061401012271	3	0.0863784358915104	0.0440479377373751	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.127636360704054	3	0.1851910412526577	0.0979324302551525	64/15/10/4/4/2	cosine	average
player	0.0505283539749679	3	0.1550851814088347	0.0842402903833199	76/6/2/1/1/1	cosine	average
prop	0.0247233761546789	5	0.1148903465325604	0.0624419687425123	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	5	0.3174502185852824	0.1785642554491863	99	cosine	average
rag	0.174179325494013	4	0.1360919589979592	0.0768290431064518	84/7/2/2/1/1/1	cosine	average
rally	0.0280338417366844	4	0.1318288779998569	0.0724330858807653	30/7/2	cosine	average
record	-0.0136711042569115	4	0.1022621429238468	0.0556505257344014	92/1	cosine	average
relationship	0.0	0	-1.0	-1.0	94/4	cosine	average
risk	0.0	2	0.229142018401102	0.1273735091869557	99	cosine	average
savage	0.0	3	0.2883952231708828	0.1636847033119572	99	cosine	average
stab	-0.1126508111039146	3	0.1729226447508329	0.0956799608677491	73/13/1/1/1	cosine	average
thump	-0.0169049846318321	3	0.1260325732996871	0.0726830200165283	88/1	cosine	average
tree	0.0	3	0.1080348447315161	0.0559011097810707	99	cosine	average
twist	0.0	1	-1.0	-1.0	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
