word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1477216090022004	0.0808546085435951	99	cosine	average
bag	-0.0168693605335425	2	0.1316341891097539	0.0704586884299937	95/1	cosine	average
ball	0.5907184803823279	2	0.2900248068130745	0.1637378681487077	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1451301081627337	9	0.2225701845723632	0.1247906306196497	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0689383548608912	9	0.1664299813121583	0.0930286512894111	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.1642621439499532	0.0895275705362734	99	cosine	average
chef	0.3678620652379537	6	0.2770787461776955	0.1571212303899008	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.0163747424197821	2	0.1137898071588156	0.060501295244996	98/1	cosine	average
donkey	-0.0136459316251723	2	0.2133982570834316	0.1167822840307273	97/1	cosine	average
edge	0.0064981471097884	2	0.1682557500688362	0.0920161403892246	88/3/2/2/1/1/1/1/1	cosine	average
face	-0.0166857516767544	2	0.252639145029127	0.1395032450641117	94/3/1/1	cosine	average
fiction	-0.0155791942373733	2	0.1680651163193866	0.0930872285449974	94/1/1/1	cosine	average
graft	-0.0104166666666666	2	0.1838841627436347	0.0994687355423824	96/1	cosine	average
grain	0.5315218512838942	2	0.2833662563305829	0.1596234807745516	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0770595561571552	2	0.2146768764500193	0.1188361442361579	77/9/6/2/2/2/1	cosine	average
heel	0.0382900360011257	2	0.1929075221051096	0.1043569442291279	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.6880984489954757	2	0.2081944434373131	0.1151405656916204	90/3/1/1	cosine	average
lane	0.0265948234079562	3	0.2518647364571689	0.141240053951569	83/1/1/1	cosine	average
maxim	0.0	2	0.2096245631402011	0.1137643722550561	97	cosine	average
multitude	0.0	3	0.1407446391274504	0.0759707367516818	99	cosine	average
ounce	0.0050213431234138	2	0.3234895165079772	0.1836534158063836	97/1/1	cosine	average
part	0.0607596051375962	8	0.1290819265785906	0.0714546886358472	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.0323212239415349	2	0.1921308664286411	0.1049485732644298	64/15/10/4/4/2	cosine	average
player	-0.0367944914579667	2	0.1838890266731938	0.1006977680400648	76/6/2/1/1/1	cosine	average
prop	0.0306928171166581	2	0.1499350731421941	0.0807439443329695	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	3	0.339303787811925	0.1927385131532938	99	cosine	average
rag	-0.0333240279966702	2	0.2442812407050064	0.136218845207116	84/7/2/2/1/1/1	cosine	average
rally	-0.0403650403650403	9	0.1700818707541734	0.0924628160347422	30/7/2	cosine	average
record	-0.0160191493279322	2	0.1256618559093448	0.067663232439334	92/1	cosine	average
relationship	-0.0160535117056856	2	0.1343615821155295	0.0716941967309262	94/4	cosine	average
risk	0.0	2	0.2260685532253268	0.1254375609072075	99	cosine	average
savage	0.0	3	0.2846045228852423	0.1623008467922715	99	cosine	average
stab	-0.1126508111039146	3	0.1688080611094857	0.0931228975216515	73/13/1/1/1	cosine	average
thump	-0.0113636363636363	2	0.2620433603681584	0.1467684085742121	88/1	cosine	average
tree	0.0	2	0.1574670624083488	0.0856013731984501	99	cosine	average
twist	0.2126922313368588	9	0.128777928900992	0.0734442481908146	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
